,0,1,2,3,4
0,safety,persons,,,
1,safety,persons,buying,maint,
2,safety,persons,buying,maint,
3,safety,persons,buying,maint,
4,safety,persons,buying,maint,
5,safety,persons,buying,maint,doors
6,safety,persons,buying,maint,doors
7,safety,persons,buying,maint,doors
8,safety,persons,buying,maint,doors
9,safety,persons,buying,maint,doors
10,safety,persons,buying,maint,doors
11,safety,persons,buying,maint,doors
12,safety,persons,buying,maint,doors
13,safety,persons,buying,maint,lug_boot
14,safety,persons,buying,maint,lug_boot
15,safety,persons,buying,maint,lug_boot
16,safety,persons,buying,maint,
17,safety,persons,buying,maint,
18,safety,persons,buying,maint,lug_boot
19,safety,persons,buying,maint,lug_boot
20,safety,persons,buying,maint,lug_boot
21,safety,persons,buying,maint,lug_boot
22,safety,persons,buying,maint,lug_boot
23,safety,persons,buying,maint,lug_boot
24,safety,persons,buying,maint,
25,safety,persons,buying,maint,
26,safety,persons,buying,maint,
27,safety,persons,buying,maint,
28,safety,persons,buying,maint,
29,safety,persons,buying,maint,
30,safety,persons,buying,maint,
31,safety,persons,buying,maint,
32,safety,persons,buying,maint,
33,safety,persons,buying,maint,lug_boot
34,safety,persons,buying,maint,lug_boot
35,safety,persons,buying,maint,lug_boot
36,safety,persons,buying,maint,lug_boot
37,safety,persons,buying,maint,lug_boot
38,safety,persons,buying,maint,lug_boot
39,safety,persons,buying,maint,lug_boot
40,safety,persons,buying,maint,lug_boot
41,safety,persons,buying,maint,lug_boot
42,safety,persons,buying,maint,doors
43,safety,persons,buying,maint,doors
44,safety,persons,buying,maint,doors
45,safety,persons,buying,maint,doors
46,safety,persons,buying,maint,
47,safety,persons,buying,maint,doors
48,safety,persons,buying,maint,doors
49,safety,persons,buying,maint,doors
50,safety,persons,buying,maint,doors
51,safety,persons,buying,maint,doors
52,safety,persons,buying,maint,doors
53,safety,persons,buying,maint,doors
54,safety,persons,buying,maint,doors
55,safety,persons,buying,maint,
56,safety,persons,buying,maint,
57,safety,persons,buying,maint,doors
58,safety,persons,buying,maint,doors
59,safety,persons,buying,maint,doors
60,safety,persons,buying,maint,doors
61,safety,persons,buying,maint,
62,safety,persons,buying,maint,
63,safety,,,,
64,safety,persons,,,
65,safety,persons,buying,lug_boot,maint
66,safety,persons,buying,lug_boot,maint
67,safety,persons,buying,lug_boot,maint
68,safety,persons,buying,lug_boot,maint
69,safety,persons,buying,lug_boot,doors
70,safety,persons,buying,lug_boot,doors
71,safety,persons,buying,lug_boot,doors
72,safety,persons,buying,lug_boot,doors
73,safety,persons,buying,lug_boot,
74,safety,persons,buying,maint,
75,safety,persons,buying,maint,doors
76,safety,persons,buying,maint,doors
77,safety,persons,buying,maint,doors
78,safety,persons,buying,maint,doors
79,safety,persons,buying,maint,doors
80,safety,persons,buying,maint,doors
81,safety,persons,buying,maint,doors
82,safety,persons,buying,maint,doors
83,safety,persons,buying,maint,lug_boot
84,safety,persons,buying,maint,lug_boot
85,safety,persons,buying,maint,lug_boot
86,safety,persons,buying,maint,lug_boot
87,safety,persons,buying,maint,lug_boot
88,safety,persons,buying,maint,lug_boot
89,safety,persons,buying,maint,lug_boot
90,safety,persons,buying,maint,lug_boot
91,safety,persons,buying,maint,lug_boot
92,safety,persons,buying,maint,
93,safety,persons,buying,maint,lug_boot
94,safety,persons,buying,maint,lug_boot
95,safety,persons,buying,maint,lug_boot
96,safety,persons,buying,maint,
97,safety,persons,buying,maint,doors
98,safety,persons,buying,maint,doors
99,safety,persons,buying,maint,doors
100,safety,persons,buying,maint,doors
101,safety,persons,buying,maint,lug_boot
102,safety,persons,buying,maint,lug_boot
103,safety,persons,buying,maint,lug_boot
104,safety,persons,buying,maint,
105,safety,persons,buying,lug_boot,maint
106,safety,persons,buying,lug_boot,maint
107,safety,persons,buying,lug_boot,maint
108,safety,persons,buying,lug_boot,maint
109,safety,persons,buying,lug_boot,maint
110,safety,persons,buying,lug_boot,maint
111,safety,persons,buying,lug_boot,maint
112,safety,persons,buying,lug_boot,maint
113,safety,persons,buying,lug_boot,
114,safety,persons,buying,lug_boot,maint
115,safety,persons,buying,lug_boot,maint
116,safety,persons,buying,lug_boot,maint
117,safety,persons,buying,lug_boot,maint
118,safety,persons,buying,lug_boot,maint
119,safety,persons,buying,lug_boot,maint
120,safety,persons,buying,lug_boot,maint
121,safety,persons,buying,lug_boot,maint
122,safety,persons,buying,lug_boot,maint
123,safety,persons,buying,lug_boot,maint
124,safety,persons,buying,lug_boot,maint
125,safety,persons,buying,lug_boot,maint
126,safety,persons,buying,maint,lug_boot
127,safety,persons,buying,maint,lug_boot
128,safety,persons,buying,maint,lug_boot
129,safety,persons,buying,maint,lug_boot
130,safety,persons,buying,maint,lug_boot
131,safety,persons,buying,maint,lug_boot
132,safety,persons,buying,maint,
133,safety,persons,buying,maint,lug_boot
134,safety,persons,buying,maint,lug_boot
135,safety,persons,buying,maint,lug_boot
136,safety,persons,buying,maint,
137,safety,persons,buying,maint,lug_boot
138,safety,persons,buying,maint,lug_boot
139,safety,persons,buying,maint,lug_boot
140,safety,persons,buying,maint,lug_boot
141,safety,persons,buying,maint,lug_boot
142,safety,persons,buying,maint,lug_boot
143,safety,persons,buying,maint,
0,high,2,,,
1,high,4,high,high,
2,high,4,high,low,
3,high,4,high,med,
4,high,4,high,vhigh,
5,high,4,low,high,2
6,high,4,low,high,3
7,high,4,low,high,4
8,high,4,low,high,5more
9,high,4,low,low,2
10,high,4,low,low,3
11,high,4,low,low,4
12,high,4,low,low,5more
13,high,4,low,med,big
14,high,4,low,med,med
15,high,4,low,med,small
16,high,4,low,vhigh,
17,high,4,med,high,
18,high,4,med,low,big
19,high,4,med,low,med
20,high,4,med,low,small
21,high,4,med,med,big
22,high,4,med,med,med
23,high,4,med,med,small
24,high,4,med,vhigh,
25,high,4,vhigh,high,
26,high,4,vhigh,low,
27,high,4,vhigh,med,
28,high,4,vhigh,vhigh,
29,high,more,high,high,
30,high,more,high,low,
31,high,more,high,med,
32,high,more,high,vhigh,
33,high,more,low,high,big
34,high,more,low,high,med
35,high,more,low,high,small
36,high,more,low,low,big
37,high,more,low,low,med
38,high,more,low,low,small
39,high,more,low,med,big
40,high,more,low,med,med
41,high,more,low,med,small
42,high,more,low,vhigh,2
43,high,more,low,vhigh,3
44,high,more,low,vhigh,4
45,high,more,low,vhigh,5more
46,high,more,med,high,
47,high,more,med,low,2
48,high,more,med,low,3
49,high,more,med,low,4
50,high,more,med,low,5more
51,high,more,med,med,2
52,high,more,med,med,3
53,high,more,med,med,4
54,high,more,med,med,5more
55,high,more,med,vhigh,
56,high,more,vhigh,high,
57,high,more,vhigh,low,2
58,high,more,vhigh,low,3
59,high,more,vhigh,low,4
60,high,more,vhigh,low,5more
61,high,more,vhigh,med,
62,high,more,vhigh,vhigh,
63,low,,,,
64,med,2,,,
65,med,4,high,big,high
66,med,4,high,big,low
67,med,4,high,big,med
68,med,4,high,big,vhigh
69,med,4,high,med,2
70,med,4,high,med,3
71,med,4,high,med,4
72,med,4,high,med,5more
73,med,4,high,small,
74,med,4,low,high,
75,med,4,low,low,2
76,med,4,low,low,3
77,med,4,low,low,4
78,med,4,low,low,5more
79,med,4,low,med,2
80,med,4,low,med,3
81,med,4,low,med,4
82,med,4,low,med,5more
83,med,4,low,vhigh,big
84,med,4,low,vhigh,med
85,med,4,low,vhigh,small
86,med,4,med,high,big
87,med,4,med,high,med
88,med,4,med,high,small
89,med,4,med,low,big
90,med,4,med,low,med
91,med,4,med,low,small
92,med,4,med,med,
93,med,4,med,vhigh,big
94,med,4,med,vhigh,med
95,med,4,med,vhigh,small
96,med,4,vhigh,high,
97,med,4,vhigh,low,2
98,med,4,vhigh,low,3
99,med,4,vhigh,low,4
100,med,4,vhigh,low,5more
101,med,4,vhigh,med,big
102,med,4,vhigh,med,med
103,med,4,vhigh,med,small
104,med,4,vhigh,vhigh,
105,med,more,high,big,high
106,med,more,high,big,low
107,med,more,high,big,med
108,med,more,high,big,vhigh
109,med,more,high,med,high
110,med,more,high,med,low
111,med,more,high,med,med
112,med,more,high,med,vhigh
113,med,more,high,small,
114,med,more,low,big,high
115,med,more,low,big,low
116,med,more,low,big,med
117,med,more,low,big,vhigh
118,med,more,low,med,high
119,med,more,low,med,low
120,med,more,low,med,med
121,med,more,low,med,vhigh
122,med,more,low,small,high
123,med,more,low,small,low
124,med,more,low,small,med
125,med,more,low,small,vhigh
126,med,more,med,high,big
127,med,more,med,high,med
128,med,more,med,high,small
129,med,more,med,low,big
