,0,1,2,3,4,5
0,safety,persons,,,,
1,safety,persons,buying,maint,,
2,safety,persons,buying,maint,,
3,safety,persons,buying,maint,,
4,safety,persons,buying,maint,,
5,safety,persons,buying,maint,doors,
6,safety,persons,buying,maint,doors,lug_boot
7,safety,persons,buying,maint,doors,lug_boot
8,safety,persons,buying,maint,doors,lug_boot
9,safety,persons,buying,maint,doors,
10,safety,persons,buying,maint,doors,
11,safety,persons,buying,maint,doors,
12,safety,persons,buying,maint,doors,
13,safety,persons,buying,maint,doors,lug_boot
14,safety,persons,buying,maint,doors,lug_boot
15,safety,persons,buying,maint,doors,lug_boot
16,safety,persons,buying,maint,doors,
17,safety,persons,buying,maint,lug_boot,
18,safety,persons,buying,maint,lug_boot,doors
19,safety,persons,buying,maint,lug_boot,doors
20,safety,persons,buying,maint,lug_boot,doors
21,safety,persons,buying,maint,lug_boot,doors
22,safety,persons,buying,maint,lug_boot,
23,safety,persons,buying,maint,,
24,safety,persons,buying,maint,,
25,safety,persons,buying,maint,lug_boot,
26,safety,persons,buying,maint,lug_boot,doors
27,safety,persons,buying,maint,lug_boot,doors
28,safety,persons,buying,maint,lug_boot,doors
29,safety,persons,buying,maint,lug_boot,doors
30,safety,persons,buying,maint,lug_boot,
31,safety,persons,buying,maint,lug_boot,
32,safety,persons,buying,maint,lug_boot,
33,safety,persons,buying,maint,lug_boot,
34,safety,persons,buying,maint,,
35,safety,persons,buying,maint,,
36,safety,persons,buying,maint,,
37,safety,persons,buying,maint,,
38,safety,persons,buying,maint,,
39,safety,persons,buying,maint,,
40,safety,persons,buying,maint,,
41,safety,persons,buying,maint,,
42,safety,persons,buying,maint,,
43,safety,persons,buying,maint,lug_boot,
44,safety,persons,buying,maint,lug_boot,
45,safety,persons,buying,maint,lug_boot,doors
46,safety,persons,buying,maint,lug_boot,doors
47,safety,persons,buying,maint,lug_boot,doors
48,safety,persons,buying,maint,lug_boot,doors
49,safety,persons,buying,maint,lug_boot,
50,safety,persons,buying,maint,lug_boot,
51,safety,persons,buying,maint,lug_boot,doors
52,safety,persons,buying,maint,lug_boot,doors
53,safety,persons,buying,maint,lug_boot,doors
54,safety,persons,buying,maint,lug_boot,doors
55,safety,persons,buying,maint,lug_boot,
56,safety,persons,buying,maint,lug_boot,
57,safety,persons,buying,maint,lug_boot,doors
58,safety,persons,buying,maint,lug_boot,doors
59,safety,persons,buying,maint,lug_boot,doors
60,safety,persons,buying,maint,lug_boot,doors
61,safety,persons,buying,maint,doors,lug_boot
62,safety,persons,buying,maint,doors,lug_boot
63,safety,persons,buying,maint,doors,lug_boot
64,safety,persons,buying,maint,doors,
65,safety,persons,buying,maint,doors,
66,safety,persons,buying,maint,doors,
67,safety,persons,buying,maint,,
68,safety,persons,buying,maint,doors,lug_boot
69,safety,persons,buying,maint,doors,lug_boot
70,safety,persons,buying,maint,doors,lug_boot
71,safety,persons,buying,maint,doors,
72,safety,persons,buying,maint,doors,
73,safety,persons,buying,maint,doors,
74,safety,persons,buying,maint,doors,lug_boot
75,safety,persons,buying,maint,doors,lug_boot
76,safety,persons,buying,maint,doors,lug_boot
77,safety,persons,buying,maint,doors,
78,safety,persons,buying,maint,doors,
79,safety,persons,buying,maint,doors,
80,safety,persons,buying,maint,,
81,safety,persons,buying,maint,,
82,safety,persons,buying,maint,doors,lug_boot
83,safety,persons,buying,maint,doors,lug_boot
84,safety,persons,buying,maint,doors,lug_boot
85,safety,persons,buying,maint,doors,
86,safety,persons,buying,maint,doors,
87,safety,persons,buying,maint,doors,
88,safety,persons,buying,maint,,
89,safety,persons,buying,maint,,
90,safety,,,,,
91,safety,persons,,,,
92,safety,persons,buying,lug_boot,maint,
93,safety,persons,buying,lug_boot,maint,
94,safety,persons,buying,lug_boot,maint,
95,safety,persons,buying,lug_boot,maint,
96,safety,persons,buying,lug_boot,doors,
97,safety,persons,buying,lug_boot,doors,
98,safety,persons,buying,lug_boot,doors,maint
99,safety,persons,buying,lug_boot,doors,maint
100,safety,persons,buying,lug_boot,doors,maint
101,safety,persons,buying,lug_boot,doors,maint
102,safety,persons,buying,lug_boot,doors,
103,safety,persons,buying,lug_boot,,
104,safety,persons,buying,maint,,
105,safety,persons,buying,maint,doors,lug_boot
106,safety,persons,buying,maint,doors,lug_boot
107,safety,persons,buying,maint,doors,lug_boot
108,safety,persons,buying,maint,doors,
109,safety,persons,buying,maint,doors,
110,safety,persons,buying,maint,doors,
111,safety,persons,buying,maint,doors,lug_boot
112,safety,persons,buying,maint,doors,lug_boot
113,safety,persons,buying,maint,doors,lug_boot
114,safety,persons,buying,maint,doors,
115,safety,persons,buying,maint,doors,
116,safety,persons,buying,maint,doors,
117,safety,persons,buying,maint,lug_boot,
118,safety,persons,buying,maint,lug_boot,doors
119,safety,persons,buying,maint,lug_boot,doors
120,safety,persons,buying,maint,lug_boot,doors
121,safety,persons,buying,maint,lug_boot,doors
122,safety,persons,buying,maint,lug_boot,
123,safety,persons,buying,maint,lug_boot,
124,safety,persons,buying,maint,lug_boot,
125,safety,persons,buying,maint,lug_boot,
126,safety,persons,buying,maint,lug_boot,
127,safety,persons,buying,maint,lug_boot,doors
128,safety,persons,buying,maint,lug_boot,doors
129,safety,persons,buying,maint,lug_boot,doors
130,safety,persons,buying,maint,lug_boot,doors
131,safety,persons,buying,maint,lug_boot,
132,safety,persons,buying,maint,,
133,safety,persons,buying,maint,lug_boot,
134,safety,persons,buying,maint,lug_boot,
135,safety,persons,buying,maint,lug_boot,
136,safety,persons,buying,maint,,
137,safety,persons,buying,maint,doors,
138,safety,persons,buying,maint,doors,
139,safety,persons,buying,maint,doors,
140,safety,persons,buying,maint,doors,
141,safety,persons,buying,maint,lug_boot,
142,safety,persons,buying,maint,lug_boot,doors
143,safety,persons,buying,maint,lug_boot,doors
144,safety,persons,buying,maint,lug_boot,doors
145,safety,persons,buying,maint,lug_boot,doors
146,safety,persons,buying,maint,lug_boot,
147,safety,persons,buying,maint,,
148,safety,persons,buying,lug_boot,maint,
149,safety,persons,buying,lug_boot,maint,
150,safety,persons,buying,lug_boot,maint,
151,safety,persons,buying,lug_boot,maint,
152,safety,persons,buying,lug_boot,maint,
153,safety,persons,buying,lug_boot,maint,doors
154,safety,persons,buying,lug_boot,maint,doors
155,safety,persons,buying,lug_boot,maint,doors
156,safety,persons,buying,lug_boot,maint,doors
157,safety,persons,buying,lug_boot,maint,
158,safety,persons,buying,lug_boot,maint,
159,safety,persons,buying,lug_boot,,
160,safety,persons,buying,lug_boot,maint,
161,safety,persons,buying,lug_boot,maint,
162,safety,persons,buying,lug_boot,maint,
163,safety,persons,buying,lug_boot,maint,
164,safety,persons,buying,lug_boot,maint,
165,safety,persons,buying,lug_boot,maint,doors
166,safety,persons,buying,lug_boot,maint,doors
167,safety,persons,buying,lug_boot,maint,doors
168,safety,persons,buying,lug_boot,maint,doors
169,safety,persons,buying,lug_boot,maint,doors
170,safety,persons,buying,lug_boot,maint,doors
171,safety,persons,buying,lug_boot,maint,doors
172,safety,persons,buying,lug_boot,maint,doors
173,safety,persons,buying,lug_boot,maint,
174,safety,persons,buying,lug_boot,maint,doors
175,safety,persons,buying,lug_boot,maint,doors
176,safety,persons,buying,lug_boot,maint,doors
177,safety,persons,buying,lug_boot,maint,doors
178,safety,persons,buying,lug_boot,maint,doors
179,safety,persons,buying,lug_boot,maint,doors
180,safety,persons,buying,lug_boot,maint,doors
181,safety,persons,buying,lug_boot,maint,doors
182,safety,persons,buying,lug_boot,maint,
183,safety,persons,buying,lug_boot,maint,
184,safety,persons,buying,maint,lug_boot,
185,safety,persons,buying,maint,lug_boot,doors
186,safety,persons,buying,maint,lug_boot,doors
187,safety,persons,buying,maint,lug_boot,doors
188,safety,persons,buying,maint,lug_boot,doors
189,safety,persons,buying,maint,lug_boot,
190,safety,persons,buying,maint,lug_boot,
191,safety,persons,buying,maint,lug_boot,doors
192,safety,persons,buying,maint,lug_boot,doors
193,safety,persons,buying,maint,lug_boot,doors
194,safety,persons,buying,maint,lug_boot,doors
195,safety,persons,buying,maint,lug_boot,
196,safety,persons,buying,maint,,
197,safety,persons,buying,maint,lug_boot,
198,safety,persons,buying,maint,lug_boot,
199,safety,persons,buying,maint,lug_boot,
200,safety,persons,buying,maint,,
201,safety,persons,buying,maint,lug_boot,
202,safety,persons,buying,maint,lug_boot,doors
203,safety,persons,buying,maint,lug_boot,doors
204,safety,persons,buying,maint,lug_boot,doors
205,safety,persons,buying,maint,lug_boot,doors
