,0,1,2,3,4,5,6,7,8,9
0,duration,month,job,education,,,,,,
1,duration,month,job,education,,,,,,
2,duration,month,job,education,housing,,,,,
3,duration,month,job,education,housing,,,,,
4,duration,month,job,poutcome,,,,,,
5,duration,month,job,poutcome,,,,,,
6,duration,month,job,poutcome,,,,,,
7,duration,month,job,poutcome,,,,,,
8,duration,month,job,,,,,,,
9,duration,month,job,,,,,,,
10,duration,month,job,housing,campaign,,,,,
11,duration,month,job,housing,campaign,,,,,
12,duration,month,job,housing,,,,,,
13,duration,month,job,,,,,,,
14,duration,month,job,marital,,,,,,
15,duration,month,job,marital,,,,,,
16,duration,month,job,marital,,,,,,
17,duration,month,job,,,,,,,
18,duration,month,job,balance,,,,,,
19,duration,month,job,balance,,,,,,
20,duration,month,job,marital,housing,,,,,
21,duration,month,job,marital,housing,,,,,
22,duration,month,job,marital,day,balance,,,,
23,duration,month,job,marital,day,balance,housing,,,
24,duration,month,job,marital,day,balance,housing,,,
25,duration,month,job,marital,day,,,,,
26,duration,month,job,marital,,,,,,
27,duration,month,job,,,,,,,
28,duration,month,poutcome,job,,,,,,
29,duration,month,poutcome,job,,,,,,
30,duration,month,poutcome,job,,,,,,
31,duration,month,poutcome,job,,,,,,
32,duration,month,poutcome,job,marital,,,,,
33,duration,month,poutcome,job,marital,,,,,
34,duration,month,poutcome,job,marital,age,balance,,,
35,duration,month,poutcome,job,marital,age,balance,,,
36,duration,month,poutcome,job,marital,age,,,,
37,duration,month,poutcome,job,,,,,,
38,duration,month,poutcome,job,,,,,,
39,duration,month,poutcome,job,,,,,,
40,duration,month,poutcome,job,contact,,,,,
41,duration,month,poutcome,job,contact,,,,,
42,duration,month,poutcome,job,marital,,,,,
43,duration,month,poutcome,job,marital,education,,,,
44,duration,month,poutcome,job,marital,education,,,,
45,duration,month,poutcome,job,marital,education,,,,
46,duration,month,poutcome,job,marital,,,,,
47,duration,month,poutcome,job,,,,,,
48,duration,month,poutcome,day,,,,,,
49,duration,month,poutcome,day,,,,,,
50,duration,month,poutcome,balance,,,,,,
51,duration,month,poutcome,balance,,,,,,
52,duration,month,poutcome,job,,,,,,
53,duration,month,poutcome,job,,,,,,
54,duration,month,poutcome,job,,,,,,
55,duration,month,poutcome,job,,,,,,
56,duration,month,poutcome,job,,,,,,
57,duration,month,poutcome,job,,,,,,
58,duration,month,poutcome,job,,,,,,
59,duration,month,poutcome,job,,,,,,
60,duration,month,poutcome,job,,,,,,
61,duration,month,poutcome,job,education,,,,,
62,duration,month,poutcome,job,education,,,,,
63,duration,month,poutcome,job,education,campaign,balance,,,
64,duration,month,poutcome,job,education,campaign,balance,,,
65,duration,month,poutcome,job,education,campaign,balance,marital,,
66,duration,month,poutcome,job,education,campaign,balance,marital,age,housing
67,duration,month,poutcome,job,education,campaign,balance,marital,age,housing
68,duration,month,poutcome,job,education,campaign,balance,marital,age,
69,duration,month,poutcome,job,education,campaign,balance,marital,,
70,duration,month,poutcome,job,education,campaign,balance,,,
71,duration,month,poutcome,job,balance,,,,,
72,duration,month,poutcome,job,balance,,,,,
73,duration,month,job,,,,,,,
74,duration,month,job,,,,,,,
75,duration,month,job,,,,,,,
76,duration,month,job,,,,,,,
77,duration,month,job,,,,,,,
78,duration,month,job,,,,,,,
79,duration,month,job,,,,,,,
80,duration,month,job,,,,,,,
81,duration,month,job,,,,,,,
82,duration,month,job,,,,,,,
83,duration,month,job,,,,,,,
84,duration,month,job,,,,,,,
85,duration,month,job,poutcome,,,,,,
86,duration,month,job,poutcome,,,,,,
87,duration,month,job,poutcome,,,,,,
88,duration,month,job,poutcome,campaign,education,housing,,,
89,duration,month,job,poutcome,campaign,education,housing,,,
90,duration,month,job,poutcome,campaign,education,,,,
91,duration,month,job,poutcome,campaign,education,,,,
92,duration,month,job,poutcome,campaign,,,,,
93,duration,month,job,,,,,,,
94,duration,month,job,,,,,,,
95,duration,month,job,poutcome,,,,,,
96,duration,month,job,poutcome,,,,,,
97,duration,month,job,poutcome,age,,,,,
98,duration,month,job,poutcome,age,,,,,
99,duration,month,job,poutcome,marital,education,,,,
100,duration,month,job,poutcome,marital,education,,,,
101,duration,month,job,poutcome,marital,education,,,,
102,duration,month,job,poutcome,marital,education,,,,
103,duration,month,job,poutcome,marital,education,,,,
104,duration,month,job,poutcome,marital,education,day,age,balance,
105,duration,month,job,poutcome,marital,education,day,age,balance,
106,duration,month,job,poutcome,marital,education,day,age,housing,balance
107,duration,month,job,poutcome,marital,education,day,age,housing,balance
108,duration,month,job,poutcome,marital,education,day,age,housing,
109,duration,month,job,poutcome,marital,education,day,,,
110,duration,month,job,poutcome,marital,,,,,
111,duration,month,job,housing,,,,,,
112,duration,month,job,housing,education,,,,,
113,duration,month,job,housing,education,,,,,
114,duration,month,job,housing,education,,,,,
115,duration,month,job,,,,,,,
116,duration,month,job,,,,,,,
117,duration,month,job,housing,,,,,,
118,duration,month,job,housing,,,,,,
119,duration,month,job,,,,,,,
120,duration,month,job,day,,,,,,
121,duration,month,job,day,,,,,,
122,duration,month,job,,,,,,,
123,duration,month,job,,,,,,,
124,duration,month,job,,,,,,,
125,duration,month,job,,,,,,,
126,duration,month,job,marital,,,,,,
127,duration,month,job,marital,,,,,,
128,duration,month,job,marital,age,,,,,
129,duration,month,job,marital,age,,,,,
130,duration,month,job,,,,,,,
131,duration,month,job,,,,,,,
132,duration,month,job,,,,,,,
133,duration,month,job,,,,,,,
134,duration,month,job,,,,,,,
135,duration,month,job,,,,,,,
136,duration,month,day,job,balance,,,,,
137,duration,month,day,job,balance,loan,,,,
138,duration,month,day,job,balance,loan,,,,
139,duration,month,day,job,contact,,,,,
140,duration,month,day,job,contact,campaign,age,,,
141,duration,month,day,job,contact,campaign,age,loan,,
142,duration,month,day,job,contact,campaign,age,loan,,
143,duration,month,day,job,contact,campaign,,,,
144,duration,month,day,job,loan,,,,,
145,duration,month,day,job,loan,marital,,,,
146,duration,month,day,job,loan,marital,,,,
147,duration,month,day,job,loan,marital,,,,
148,duration,month,day,job,,,,,,
149,duration,month,day,job,balance,,,,,
150,duration,month,day,job,balance,housing,age,,,
151,duration,month,day,job,balance,housing,age,loan,campaign,
152,duration,month,day,job,balance,housing,age,loan,campaign,
153,duration,month,day,job,balance,housing,age,loan,,
154,duration,month,day,job,balance,housing,,,,
155,duration,month,day,job,,,,,,
156,duration,month,day,job,,,,,,
157,duration,month,day,job,,,,,,
158,duration,month,day,job,,,,,,
159,duration,month,day,job,,,,,,
160,duration,month,day,job,,,,,,
161,duration,month,day,,,,,,,
162,duration,month,poutcome,job,,,,,,
163,duration,month,poutcome,job,marital,,,,,
164,duration,month,poutcome,job,marital,,,,,
165,duration,month,poutcome,job,marital,,,,,
166,duration,month,poutcome,job,,,,,,
167,duration,month,poutcome,job,,,,,,
168,duration,month,poutcome,job,,,,,,
169,duration,month,poutcome,job,,,,,,
170,duration,month,poutcome,job,,,,,,
171,duration,month,poutcome,job,,,,,,
172,duration,month,poutcome,job,,,,,,
173,duration,month,poutcome,job,,,,,,
