,0,1,2,3,4,5,6,7,8,9,10,11
0,duration,month,job,education,,,,,,,,
1,duration,month,job,education,,,,,,,,
2,duration,month,job,education,housing,,,,,,,
3,duration,month,job,education,housing,,,,,,,
4,duration,month,job,education,,,,,,,,
5,duration,month,job,poutcome,,,,,,,,
6,duration,month,job,poutcome,,,,,,,,
7,duration,month,job,poutcome,,,,,,,,
8,duration,month,job,poutcome,,,,,,,,
9,duration,month,job,,,,,,,,,
10,duration,month,job,,,,,,,,,
11,duration,month,job,housing,campaign,,,,,,,
12,duration,month,job,housing,campaign,,,,,,,
13,duration,month,job,housing,,,,,,,,
14,duration,month,job,,,,,,,,,
15,duration,month,job,marital,,,,,,,,
16,duration,month,job,marital,,,,,,,,
17,duration,month,job,marital,,,,,,,,
18,duration,month,job,,,,,,,,,
19,duration,month,job,balance,,,,,,,,
20,duration,month,job,balance,,,,,,,,
21,duration,month,job,contact,marital,housing,,,,,,
22,duration,month,job,contact,marital,housing,,,,,,
23,duration,month,job,contact,marital,balance,loan,,,,,
24,duration,month,job,contact,marital,balance,loan,,,,,
25,duration,month,job,contact,marital,balance,,,,,,
26,duration,month,job,contact,marital,,,,,,,
27,duration,month,job,contact,,,,,,,,
28,duration,month,job,contact,,,,,,,,
29,duration,month,job,,,,,,,,,
30,duration,month,job,,,,,,,,,
31,duration,month,poutcome,job,,,,,,,,
32,duration,month,poutcome,job,,,,,,,,
33,duration,month,poutcome,job,,,,,,,,
34,duration,month,poutcome,job,,,,,,,,
35,duration,month,poutcome,job,marital,,,,,,,
36,duration,month,poutcome,job,marital,,,,,,,
37,duration,month,poutcome,job,marital,age,balance,,,,,
38,duration,month,poutcome,job,marital,age,balance,,,,,
39,duration,month,poutcome,job,marital,age,,,,,,
40,duration,month,poutcome,job,,,,,,,,
41,duration,month,poutcome,job,,,,,,,,
42,duration,month,poutcome,job,,,,,,,,
43,duration,month,poutcome,job,contact,,,,,,,
44,duration,month,poutcome,job,contact,,,,,,,
45,duration,month,poutcome,job,contact,,,,,,,
46,duration,month,poutcome,job,marital,,,,,,,
47,duration,month,poutcome,job,marital,education,,,,,,
48,duration,month,poutcome,job,marital,education,,,,,,
49,duration,month,poutcome,job,marital,education,,,,,,
50,duration,month,poutcome,job,marital,education,,,,,,
51,duration,month,poutcome,job,marital,,,,,,,
52,duration,month,poutcome,job,,,,,,,,
53,duration,month,poutcome,job,,,,,,,,
54,duration,month,poutcome,day,,,,,,,,
55,duration,month,poutcome,day,,,,,,,,
56,duration,month,poutcome,balance,,,,,,,,
57,duration,month,poutcome,balance,,,,,,,,
58,duration,month,poutcome,job,,,,,,,,
59,duration,month,poutcome,job,,,,,,,,
60,duration,month,poutcome,job,,,,,,,,
61,duration,month,poutcome,job,,,,,,,,
62,duration,month,poutcome,job,,,,,,,,
63,duration,month,poutcome,job,,,,,,,,
64,duration,month,poutcome,job,,,,,,,,
65,duration,month,poutcome,job,,,,,,,,
66,duration,month,poutcome,job,,,,,,,,
67,duration,month,poutcome,job,education,,,,,,,
68,duration,month,poutcome,job,education,,,,,,,
69,duration,month,poutcome,job,education,campaign,balance,,,,,
70,duration,month,poutcome,job,education,campaign,balance,,,,,
71,duration,month,poutcome,job,education,campaign,balance,marital,,,,
72,duration,month,poutcome,job,education,campaign,balance,marital,age,housing,default,loan
73,duration,month,poutcome,job,education,campaign,balance,marital,age,housing,default,loan
74,duration,month,poutcome,job,education,campaign,balance,marital,age,housing,default,
75,duration,month,poutcome,job,education,campaign,balance,marital,age,housing,,
76,duration,month,poutcome,job,education,campaign,balance,marital,age,,,
77,duration,month,poutcome,job,education,campaign,balance,marital,,,,
78,duration,month,poutcome,job,education,campaign,balance,,,,,
79,duration,month,poutcome,job,education,,,,,,,
80,duration,month,poutcome,job,balance,,,,,,,
81,duration,month,poutcome,job,balance,,,,,,,
82,duration,month,poutcome,job,,,,,,,,
83,duration,month,job,,,,,,,,,
84,duration,month,job,,,,,,,,,
85,duration,month,job,,,,,,,,,
86,duration,month,job,,,,,,,,,
87,duration,month,job,,,,,,,,,
88,duration,month,job,,,,,,,,,
89,duration,month,job,,,,,,,,,
90,duration,month,job,,,,,,,,,
91,duration,month,job,,,,,,,,,
92,duration,month,job,,,,,,,,,
93,duration,month,job,,,,,,,,,
94,duration,month,job,,,,,,,,,
95,duration,month,job,,,,,,,,,
96,duration,month,job,poutcome,,,,,,,,
97,duration,month,job,poutcome,,,,,,,,
98,duration,month,job,poutcome,,,,,,,,
99,duration,month,job,poutcome,campaign,education,housing,,,,,
100,duration,month,job,poutcome,campaign,education,housing,,,,,
101,duration,month,job,poutcome,campaign,education,,,,,,
102,duration,month,job,poutcome,campaign,education,,,,,,
103,duration,month,job,poutcome,campaign,education,,,,,,
104,duration,month,job,poutcome,campaign,,,,,,,
105,duration,month,job,,,,,,,,,
106,duration,month,job,,,,,,,,,
107,duration,month,job,education,,,,,,,,
108,duration,month,job,education,,,,,,,,
109,duration,month,job,education,poutcome,,,,,,,
110,duration,month,job,education,poutcome,,,,,,,
111,duration,month,job,education,poutcome,age,,,,,,
112,duration,month,job,education,poutcome,age,,,,,,
113,duration,month,job,education,poutcome,marital,,,,,,
114,duration,month,job,education,poutcome,marital,day,age,balance,,,
115,duration,month,job,education,poutcome,marital,day,age,balance,,,
116,duration,month,job,education,poutcome,marital,day,age,housing,balance,,
117,duration,month,job,education,poutcome,marital,day,age,housing,balance,,
118,duration,month,job,education,poutcome,marital,day,age,housing,,,
119,duration,month,job,education,poutcome,marital,day,,,,,
120,duration,month,job,education,poutcome,marital,,,,,,
121,duration,month,job,education,,,,,,,,
122,duration,month,job,housing,,,,,,,,
123,duration,month,job,housing,education,,,,,,,
124,duration,month,job,housing,education,,,,,,,
125,duration,month,job,housing,education,,,,,,,
126,duration,month,job,housing,education,,,,,,,
127,duration,month,job,,,,,,,,,
128,duration,month,job,,,,,,,,,
129,duration,month,job,housing,,,,,,,,
130,duration,month,job,housing,,,,,,,,
131,duration,month,job,,,,,,,,,
132,duration,month,job,day,,,,,,,,
133,duration,month,job,day,,,,,,,,
134,duration,month,job,,,,,,,,,
135,duration,month,job,,,,,,,,,
136,duration,month,job,,,,,,,,,
137,duration,month,job,,,,,,,,,
138,duration,month,job,,,,,,,,,
139,duration,month,job,marital,,,,,,,,
140,duration,month,job,marital,,,,,,,,
141,duration,month,job,marital,age,,,,,,,
142,duration,month,job,marital,age,,,,,,,
143,duration,month,job,,,,,,,,,
144,duration,month,job,,,,,,,,,
145,duration,month,job,,,,,,,,,
146,duration,month,job,,,,,,,,,
147,duration,month,job,,,,,,,,,
148,duration,month,job,,,,,,,,,
149,duration,month,job,,,,,,,,,
150,duration,month,day,job,contact,,,,,,,
151,duration,month,day,job,contact,,,,,,,
152,duration,month,day,job,contact,age,,,,,,
153,duration,month,day,job,contact,age,,,,,,
154,duration,month,day,job,contact,,,,,,,
155,duration,month,day,job,contact,campaign,age,,,,,
156,duration,month,day,job,contact,campaign,age,loan,,,,
157,duration,month,day,job,contact,campaign,age,loan,,,,
