,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,duration,month,job,education,,,,,,,,,,,
1,duration,month,job,education,,,,,,,,,,,
2,duration,month,job,education,housing,,,,,,,,,,
3,duration,month,job,education,housing,,,,,,,,,,
4,duration,month,job,education,,,,,,,,,,,
5,duration,month,job,poutcome,,,,,,,,,,,
6,duration,month,job,poutcome,,,,,,,,,,,
7,duration,month,job,poutcome,,,,,,,,,,,
8,duration,month,job,poutcome,,,,,,,,,,,
9,duration,month,job,,,,,,,,,,,,
10,duration,month,job,,,,,,,,,,,,
11,duration,month,job,housing,campaign,,,,,,,,,,
12,duration,month,job,housing,campaign,,,,,,,,,,
13,duration,month,job,housing,,,,,,,,,,,
14,duration,month,job,,,,,,,,,,,,
15,duration,month,job,marital,,,,,,,,,,,
16,duration,month,job,marital,,,,,,,,,,,
17,duration,month,job,marital,,,,,,,,,,,
18,duration,month,job,,,,,,,,,,,,
19,duration,month,job,balance,,,,,,,,,,,
20,duration,month,job,balance,,,,,,,,,,,
21,duration,month,job,contact,marital,housing,,,,,,,,,
22,duration,month,job,contact,marital,housing,,,,,,,,,
23,duration,month,job,contact,marital,balance,loan,,,,,,,,
24,duration,month,job,contact,marital,balance,loan,,,,,,,,
25,duration,month,job,contact,marital,balance,,,,,,,,,
26,duration,month,job,contact,marital,,,,,,,,,,
27,duration,month,job,contact,,,,,,,,,,,
28,duration,month,job,contact,,,,,,,,,,,
29,duration,month,job,,,,,,,,,,,,
30,duration,month,job,,,,,,,,,,,,
31,duration,month,poutcome,job,,,,,,,,,,,
32,duration,month,poutcome,job,,,,,,,,,,,
33,duration,month,poutcome,job,,,,,,,,,,,
34,duration,month,poutcome,job,,,,,,,,,,,
35,duration,month,poutcome,job,marital,,,,,,,,,,
36,duration,month,poutcome,job,marital,,,,,,,,,,
37,duration,month,poutcome,job,marital,age,balance,,,,,,,,
38,duration,month,poutcome,job,marital,age,balance,,,,,,,,
39,duration,month,poutcome,job,marital,age,,,,,,,,,
40,duration,month,poutcome,job,,,,,,,,,,,
41,duration,month,poutcome,job,,,,,,,,,,,
42,duration,month,poutcome,job,,,,,,,,,,,
43,duration,month,poutcome,job,contact,,,,,,,,,,
44,duration,month,poutcome,job,contact,,,,,,,,,,
45,duration,month,poutcome,job,contact,,,,,,,,,,
46,duration,month,poutcome,job,marital,,,,,,,,,,
47,duration,month,poutcome,job,marital,education,,,,,,,,,
48,duration,month,poutcome,job,marital,education,,,,,,,,,
49,duration,month,poutcome,job,marital,education,,,,,,,,,
50,duration,month,poutcome,job,marital,education,,,,,,,,,
51,duration,month,poutcome,job,marital,,,,,,,,,,
52,duration,month,poutcome,job,,,,,,,,,,,
53,duration,month,poutcome,job,,,,,,,,,,,
54,duration,month,poutcome,day,,,,,,,,,,,
55,duration,month,poutcome,day,,,,,,,,,,,
56,duration,month,poutcome,balance,,,,,,,,,,,
57,duration,month,poutcome,balance,,,,,,,,,,,
58,duration,month,poutcome,job,,,,,,,,,,,
59,duration,month,poutcome,job,,,,,,,,,,,
60,duration,month,poutcome,job,,,,,,,,,,,
61,duration,month,poutcome,job,,,,,,,,,,,
62,duration,month,poutcome,job,,,,,,,,,,,
63,duration,month,poutcome,job,,,,,,,,,,,
64,duration,month,poutcome,job,,,,,,,,,,,
65,duration,month,poutcome,job,,,,,,,,,,,
66,duration,month,poutcome,job,,,,,,,,,,,
67,duration,month,poutcome,job,education,,,,,,,,,,
68,duration,month,poutcome,job,education,,,,,,,,,,
69,duration,month,poutcome,job,education,campaign,balance,,,,,,,,
70,duration,month,poutcome,job,education,campaign,balance,,,,,,,,
71,duration,month,poutcome,job,education,campaign,balance,marital,,,,,,,
72,duration,month,poutcome,job,education,campaign,balance,marital,age,housing,default,loan,contact,day,
73,duration,month,poutcome,job,education,campaign,balance,marital,age,housing,default,loan,contact,day,pdays
74,duration,month,poutcome,job,education,campaign,balance,marital,age,housing,default,loan,contact,day,pdays
75,duration,month,poutcome,job,education,campaign,balance,marital,age,housing,default,loan,contact,,
76,duration,month,poutcome,job,education,campaign,balance,marital,age,housing,default,loan,contact,,
77,duration,month,poutcome,job,education,campaign,balance,marital,age,housing,default,loan,,,
78,duration,month,poutcome,job,education,campaign,balance,marital,age,housing,default,,,,
79,duration,month,poutcome,job,education,campaign,balance,marital,age,housing,,,,,
80,duration,month,poutcome,job,education,campaign,balance,marital,age,,,,,,
81,duration,month,poutcome,job,education,campaign,balance,marital,,,,,,,
82,duration,month,poutcome,job,education,campaign,balance,,,,,,,,
83,duration,month,poutcome,job,education,,,,,,,,,,
84,duration,month,poutcome,job,balance,,,,,,,,,,
85,duration,month,poutcome,job,balance,,,,,,,,,,
86,duration,month,poutcome,job,,,,,,,,,,,
87,duration,month,job,,,,,,,,,,,,
88,duration,month,job,,,,,,,,,,,,
89,duration,month,job,,,,,,,,,,,,
90,duration,month,job,,,,,,,,,,,,
91,duration,month,job,,,,,,,,,,,,
92,duration,month,job,,,,,,,,,,,,
93,duration,month,job,,,,,,,,,,,,
94,duration,month,job,,,,,,,,,,,,
95,duration,month,job,,,,,,,,,,,,
96,duration,month,job,,,,,,,,,,,,
97,duration,month,job,,,,,,,,,,,,
98,duration,month,job,,,,,,,,,,,,
99,duration,month,job,,,,,,,,,,,,
100,duration,month,job,poutcome,,,,,,,,,,,
101,duration,month,job,poutcome,,,,,,,,,,,
102,duration,month,job,poutcome,,,,,,,,,,,
103,duration,month,job,poutcome,campaign,education,housing,,,,,,,,
104,duration,month,job,poutcome,campaign,education,housing,,,,,,,,
105,duration,month,job,poutcome,campaign,education,,,,,,,,,
106,duration,month,job,poutcome,campaign,education,,,,,,,,,
107,duration,month,job,poutcome,campaign,education,,,,,,,,,
108,duration,month,job,poutcome,campaign,,,,,,,,,,
109,duration,month,job,,,,,,,,,,,,
110,duration,month,job,,,,,,,,,,,,
111,duration,month,job,education,,,,,,,,,,,
112,duration,month,job,education,,,,,,,,,,,
113,duration,month,job,education,poutcome,,,,,,,,,,
114,duration,month,job,education,poutcome,,,,,,,,,,
115,duration,month,job,education,poutcome,age,,,,,,,,,
116,duration,month,job,education,poutcome,age,,,,,,,,,
117,duration,month,job,education,poutcome,marital,,,,,,,,,
118,duration,month,job,education,poutcome,marital,day,age,balance,,,,,,
119,duration,month,job,education,poutcome,marital,day,age,balance,,,,,,
120,duration,month,job,education,poutcome,marital,day,age,housing,balance,,,,,
121,duration,month,job,education,poutcome,marital,day,age,housing,balance,,,,,
122,duration,month,job,education,poutcome,marital,day,age,housing,,,,,,
123,duration,month,job,education,poutcome,marital,day,,,,,,,,
124,duration,month,job,education,poutcome,marital,,,,,,,,,
125,duration,month,job,education,,,,,,,,,,,
126,duration,month,job,housing,,,,,,,,,,,
127,duration,month,job,housing,education,,,,,,,,,,
128,duration,month,job,housing,education,,,,,,,,,,
129,duration,month,job,housing,education,,,,,,,,,,
130,duration,month,job,housing,education,,,,,,,,,,
131,duration,month,job,,,,,,,,,,,,
132,duration,month,job,,,,,,,,,,,,
133,duration,month,job,housing,,,,,,,,,,,
