,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,duration,month,job,education,,,,,,,,,,,
1,duration,month,job,education,,,,,,,,,,,
2,duration,month,job,education,housing,,,,,,,,,,
3,duration,month,job,education,housing,,,,,,,,,,
4,duration,month,job,poutcome,,,,,,,,,,,
5,duration,month,job,poutcome,,,,,,,,,,,
6,duration,month,job,poutcome,,,,,,,,,,,
7,duration,month,job,poutcome,,,,,,,,,,,
8,duration,month,job,,,,,,,,,,,,
9,duration,month,job,,,,,,,,,,,,
10,duration,month,job,housing,campaign,,,,,,,,,,
11,duration,month,job,housing,campaign,,,,,,,,,,
12,duration,month,job,housing,,,,,,,,,,,
13,duration,month,job,,,,,,,,,,,,
14,duration,month,job,marital,,,,,,,,,,,
15,duration,month,job,marital,,,,,,,,,,,
16,duration,month,job,marital,,,,,,,,,,,
17,duration,month,job,,,,,,,,,,,,
18,duration,month,job,balance,,,,,,,,,,,
19,duration,month,job,balance,,,,,,,,,,,
20,duration,month,job,marital,housing,,,,,,,,,,
21,duration,month,job,marital,housing,,,,,,,,,,
22,duration,month,job,marital,day,balance,,,,,,,,,
23,duration,month,job,marital,day,balance,housing,,,,,,,,
24,duration,month,job,marital,day,balance,housing,,,,,,,,
25,duration,month,job,marital,day,,,,,,,,,,
26,duration,month,job,marital,,,,,,,,,,,
27,duration,month,job,,,,,,,,,,,,
28,duration,month,poutcome,job,,,,,,,,,,,
29,duration,month,poutcome,job,,,,,,,,,,,
30,duration,month,poutcome,job,,,,,,,,,,,
31,duration,month,poutcome,job,,,,,,,,,,,
32,duration,month,poutcome,job,marital,,,,,,,,,,
33,duration,month,poutcome,job,marital,,,,,,,,,,
34,duration,month,poutcome,job,marital,age,balance,,,,,,,,
35,duration,month,poutcome,job,marital,age,balance,,,,,,,,
36,duration,month,poutcome,job,marital,age,,,,,,,,,
37,duration,month,poutcome,job,,,,,,,,,,,
38,duration,month,poutcome,job,,,,,,,,,,,
39,duration,month,poutcome,job,,,,,,,,,,,
40,duration,month,poutcome,job,contact,,,,,,,,,,
41,duration,month,poutcome,job,contact,,,,,,,,,,
42,duration,month,poutcome,job,marital,,,,,,,,,,
43,duration,month,poutcome,job,marital,education,,,,,,,,,
44,duration,month,poutcome,job,marital,education,,,,,,,,,
45,duration,month,poutcome,job,marital,education,,,,,,,,,
46,duration,month,poutcome,job,marital,,,,,,,,,,
47,duration,month,poutcome,job,,,,,,,,,,,
48,duration,month,poutcome,day,,,,,,,,,,,
49,duration,month,poutcome,day,,,,,,,,,,,
50,duration,month,poutcome,balance,,,,,,,,,,,
51,duration,month,poutcome,balance,,,,,,,,,,,
52,duration,month,poutcome,job,,,,,,,,,,,
53,duration,month,poutcome,job,,,,,,,,,,,
54,duration,month,poutcome,job,,,,,,,,,,,
55,duration,month,poutcome,job,,,,,,,,,,,
56,duration,month,poutcome,job,,,,,,,,,,,
57,duration,month,poutcome,job,,,,,,,,,,,
58,duration,month,poutcome,job,,,,,,,,,,,
59,duration,month,poutcome,job,,,,,,,,,,,
60,duration,month,poutcome,job,,,,,,,,,,,
61,duration,month,poutcome,job,education,,,,,,,,,,
62,duration,month,poutcome,job,education,,,,,,,,,,
63,duration,month,poutcome,job,education,campaign,balance,,,,,,,,
64,duration,month,poutcome,job,education,campaign,balance,,,,,,,,
65,duration,month,poutcome,job,education,campaign,balance,marital,,,,,,,
66,duration,month,poutcome,job,education,campaign,balance,marital,age,housing,default,loan,contact,day,
67,duration,month,poutcome,job,education,campaign,balance,marital,age,housing,default,loan,contact,day,pdays
68,duration,month,poutcome,job,education,campaign,balance,marital,age,housing,default,loan,contact,day,pdays
69,duration,month,poutcome,job,education,campaign,balance,marital,age,housing,default,loan,contact,,
70,duration,month,poutcome,job,education,campaign,balance,marital,age,housing,default,loan,,,
71,duration,month,poutcome,job,education,campaign,balance,marital,age,housing,default,,,,
72,duration,month,poutcome,job,education,campaign,balance,marital,age,housing,,,,,
73,duration,month,poutcome,job,education,campaign,balance,marital,age,,,,,,
74,duration,month,poutcome,job,education,campaign,balance,marital,,,,,,,
75,duration,month,poutcome,job,education,campaign,balance,,,,,,,,
76,duration,month,poutcome,job,balance,,,,,,,,,,
77,duration,month,poutcome,job,balance,,,,,,,,,,
78,duration,month,job,,,,,,,,,,,,
79,duration,month,job,,,,,,,,,,,,
80,duration,month,job,,,,,,,,,,,,
81,duration,month,job,,,,,,,,,,,,
82,duration,month,job,,,,,,,,,,,,
83,duration,month,job,,,,,,,,,,,,
84,duration,month,job,,,,,,,,,,,,
85,duration,month,job,,,,,,,,,,,,
86,duration,month,job,,,,,,,,,,,,
87,duration,month,job,,,,,,,,,,,,
88,duration,month,job,,,,,,,,,,,,
89,duration,month,job,,,,,,,,,,,,
90,duration,month,job,poutcome,,,,,,,,,,,
91,duration,month,job,poutcome,,,,,,,,,,,
92,duration,month,job,poutcome,,,,,,,,,,,
93,duration,month,job,poutcome,campaign,education,housing,,,,,,,,
94,duration,month,job,poutcome,campaign,education,housing,,,,,,,,
95,duration,month,job,poutcome,campaign,education,,,,,,,,,
96,duration,month,job,poutcome,campaign,education,,,,,,,,,
97,duration,month,job,poutcome,campaign,,,,,,,,,,
98,duration,month,job,,,,,,,,,,,,
99,duration,month,job,,,,,,,,,,,,
100,duration,month,job,poutcome,,,,,,,,,,,
101,duration,month,job,poutcome,,,,,,,,,,,
102,duration,month,job,poutcome,age,,,,,,,,,,
103,duration,month,job,poutcome,age,,,,,,,,,,
104,duration,month,job,poutcome,marital,education,,,,,,,,,
105,duration,month,job,poutcome,marital,education,,,,,,,,,
106,duration,month,job,poutcome,marital,education,,,,,,,,,
107,duration,month,job,poutcome,marital,education,,,,,,,,,
108,duration,month,job,poutcome,marital,education,,,,,,,,,
109,duration,month,job,poutcome,marital,education,day,age,balance,,,,,,
110,duration,month,job,poutcome,marital,education,day,age,balance,,,,,,
111,duration,month,job,poutcome,marital,education,day,age,housing,balance,,,,,
112,duration,month,job,poutcome,marital,education,day,age,housing,balance,,,,,
113,duration,month,job,poutcome,marital,education,day,age,housing,,,,,,
114,duration,month,job,poutcome,marital,education,day,,,,,,,,
115,duration,month,job,poutcome,marital,,,,,,,,,,
116,duration,month,job,housing,,,,,,,,,,,
117,duration,month,job,housing,education,,,,,,,,,,
118,duration,month,job,housing,education,,,,,,,,,,
119,duration,month,job,housing,education,,,,,,,,,,
120,duration,month,job,,,,,,,,,,,,
121,duration,month,job,,,,,,,,,,,,
122,duration,month,job,housing,,,,,,,,,,,
123,duration,month,job,housing,,,,,,,,,,,
124,duration,month,job,,,,,,,,,,,,
125,duration,month,job,day,,,,,,,,,,,
126,duration,month,job,day,,,,,,,,,,,
127,duration,month,job,,,,,,,,,,,,
128,duration,month,job,,,,,,,,,,,,
129,duration,month,job,,,,,,,,,,,,
130,duration,month,job,,,,,,,,,,,,
131,duration,month,job,marital,,,,,,,,,,,
132,duration,month,job,marital,,,,,,,,,,,
133,duration,month,job,marital,age,,,,,,,,,,
134,duration,month,job,marital,age,,,,,,,,,,
