,0,1,2
0,duration,month,job
1,duration,month,job
2,duration,month,job
3,duration,month,job
4,duration,month,job
5,duration,month,job
6,duration,month,job
7,duration,month,job
8,duration,month,job
9,duration,month,job
10,duration,month,job
11,duration,month,job
12,duration,month,poutcome
13,duration,month,poutcome
14,duration,month,poutcome
15,duration,month,poutcome
16,duration,month,job
17,duration,month,job
18,duration,month,job
19,duration,month,job
20,duration,month,job
21,duration,month,job
22,duration,month,job
23,duration,month,job
24,duration,month,job
25,duration,month,job
26,duration,month,job
27,duration,month,job
28,duration,month,job
29,duration,month,job
30,duration,month,job
31,duration,month,job
32,duration,month,job
33,duration,month,job
34,duration,month,job
35,duration,month,job
36,duration,month,job
37,duration,month,job
38,duration,month,job
39,duration,month,job
40,duration,month,job
41,duration,month,job
42,duration,month,job
43,duration,month,job
44,duration,month,job
45,duration,month,job
46,duration,month,job
47,duration,month,job
48,duration,month,job
49,duration,month,job
50,duration,month,job
51,duration,month,job
52,duration,month,day
53,duration,month,day
54,duration,month,contact
55,duration,month,contact
56,duration,month,contact
57,duration,month,job
58,duration,month,job
59,duration,month,job
60,duration,month,job
61,duration,month,job
62,duration,month,job
63,duration,month,job
64,duration,month,job
65,duration,month,job
66,duration,month,job
67,duration,month,job
68,duration,month,job
69,duration,month,job
70,duration,month,job
71,duration,month,job
72,duration,month,job
73,duration,month,job
74,duration,month,job
75,duration,month,job
76,duration,month,job
77,duration,month,job
78,duration,month,job
79,duration,month,job
80,duration,month,job
81,duration,month,day
82,duration,month,day
83,duration,month,education
84,duration,month,education
85,duration,month,education
86,duration,month,education
87,duration,month,education
88,duration,month,education
89,duration,month,education
90,duration,month,education
91,duration,poutcome,month
92,duration,poutcome,month
93,duration,poutcome,month
94,duration,poutcome,month
95,duration,poutcome,month
96,duration,poutcome,month
97,duration,poutcome,month
98,duration,poutcome,month
99,duration,poutcome,month
100,duration,poutcome,month
101,duration,poutcome,month
102,duration,poutcome,month
103,duration,poutcome,job
104,duration,poutcome,job
105,duration,poutcome,job
106,duration,poutcome,job
107,duration,poutcome,job
108,duration,poutcome,job
109,duration,poutcome,job
110,duration,poutcome,job
111,duration,poutcome,job
112,duration,poutcome,job
113,duration,poutcome,job
114,duration,poutcome,job
115,duration,poutcome,month
116,duration,poutcome,month
117,duration,poutcome,month
118,duration,poutcome,month
119,duration,poutcome,month
120,duration,poutcome,month
121,duration,poutcome,month
122,duration,poutcome,month
123,duration,poutcome,month
124,duration,poutcome,month
125,duration,poutcome,month
126,duration,poutcome,month
127,duration,poutcome,month
128,duration,poutcome,month
129,duration,poutcome,month
130,duration,poutcome,month
131,duration,poutcome,month
132,duration,poutcome,month
133,duration,poutcome,month
134,duration,poutcome,month
135,duration,poutcome,month
136,duration,poutcome,month
137,duration,poutcome,month
138,duration,poutcome,month
0,lower,apr,admin.
1,lower,apr,blue-collar
2,lower,apr,entrepreneur
3,lower,apr,housemaid
4,lower,apr,management
5,lower,apr,retired
6,lower,apr,self-employed
7,lower,apr,services
8,lower,apr,student
9,lower,apr,technician
10,lower,apr,unemployed
11,lower,apr,unknown
12,lower,aug,failure
13,lower,aug,other
14,lower,aug,success
15,lower,aug,unknown
16,lower,dec,admin.
17,lower,dec,blue-collar
18,lower,dec,entrepreneur
19,lower,dec,housemaid
20,lower,dec,management
21,lower,dec,retired
22,lower,dec,self-employed
23,lower,dec,services
24,lower,dec,student
25,lower,dec,technician
26,lower,dec,unemployed
27,lower,dec,unknown
28,lower,feb,admin.
29,lower,feb,blue-collar
30,lower,feb,entrepreneur
31,lower,feb,housemaid
32,lower,feb,management
33,lower,feb,retired
34,lower,feb,self-employed
35,lower,feb,services
36,lower,feb,student
37,lower,feb,technician
38,lower,feb,unemployed
39,lower,feb,unknown
40,lower,jan,admin.
41,lower,jan,blue-collar
42,lower,jan,entrepreneur
43,lower,jan,housemaid
44,lower,jan,management
45,lower,jan,retired
46,lower,jan,self-employed
47,lower,jan,services
48,lower,jan,student
49,lower,jan,technician
50,lower,jan,unemployed
51,lower,jan,unknown
52,lower,jul,lower
53,lower,jul,upper
54,lower,jun,cellular
55,lower,jun,telephone
56,lower,jun,unknown
57,lower,mar,admin.
58,lower,mar,blue-collar
59,lower,mar,entrepreneur
60,lower,mar,housemaid
61,lower,mar,management
62,lower,mar,retired
63,lower,mar,self-employed
64,lower,mar,services
65,lower,mar,student
66,lower,mar,technician
67,lower,mar,unemployed
68,lower,mar,unknown
69,lower,may,admin.
70,lower,may,blue-collar
71,lower,may,entrepreneur
72,lower,may,housemaid
73,lower,may,management
74,lower,may,retired
75,lower,may,self-employed
76,lower,may,services
77,lower,may,student
78,lower,may,technician
79,lower,may,unemployed
80,lower,may,unknown
81,lower,nov,lower
82,lower,nov,upper
83,lower,oct,primary
84,lower,oct,secondary
85,lower,oct,tertiary
86,lower,oct,unknown
87,lower,sep,primary
88,lower,sep,secondary
89,lower,sep,tertiary
90,lower,sep,unknown
91,upper,failure,apr
92,upper,failure,aug
93,upper,failure,dec
94,upper,failure,feb
95,upper,failure,jan
96,upper,failure,jul
97,upper,failure,jun
98,upper,failure,mar
