,0,1,2
0,duration,month,job
1,duration,month,job
2,duration,month,job
3,duration,month,job
4,duration,month,job
5,duration,month,job
6,duration,month,job
7,duration,month,job
8,duration,month,job
9,duration,month,job
10,duration,month,job
11,duration,month,poutcome
12,duration,month,poutcome
13,duration,month,poutcome
14,duration,month,poutcome
15,duration,month,job
16,duration,month,job
17,duration,month,job
18,duration,month,job
19,duration,month,job
20,duration,month,job
21,duration,month,job
22,duration,month,job
23,duration,month,job
24,duration,month,job
25,duration,month,job
26,duration,month,job
27,duration,month,job
28,duration,month,job
29,duration,month,job
30,duration,month,job
31,duration,month,job
32,duration,month,job
33,duration,month,job
34,duration,month,job
35,duration,month,job
36,duration,month,job
37,duration,month,job
38,duration,month,job
39,duration,month,job
40,duration,month,job
41,duration,month,job
42,duration,month,job
43,duration,month,job
44,duration,month,job
45,duration,month,job
46,duration,month,job
47,duration,month,job
48,duration,month,day
49,duration,month,day
50,duration,month,poutcome
51,duration,month,poutcome
52,duration,month,poutcome
53,duration,month,poutcome
54,duration,month,job
55,duration,month,job
56,duration,month,job
57,duration,month,job
58,duration,month,job
59,duration,month,job
60,duration,month,job
61,duration,month,job
62,duration,month,job
63,duration,month,job
64,duration,month,job
65,duration,month,job
66,duration,month,job
67,duration,month,job
68,duration,month,job
69,duration,month,job
70,duration,month,job
71,duration,month,job
72,duration,month,job
73,duration,month,job
74,duration,month,job
75,duration,month,job
76,duration,month,day
77,duration,month,day
78,duration,month,job
79,duration,month,job
80,duration,month,job
81,duration,month,job
82,duration,month,job
83,duration,month,job
84,duration,month,job
85,duration,month,job
86,duration,month,job
87,duration,month,job
88,duration,month,job
89,duration,month,job
90,duration,month,job
91,duration,month,job
92,duration,month,job
93,duration,month,job
94,duration,month,job
95,duration,month,job
96,duration,month,job
97,duration,month,job
98,duration,month,job
99,duration,month,job
100,duration,poutcome,month
101,duration,poutcome,month
102,duration,poutcome,month
103,duration,poutcome,month
104,duration,poutcome,month
105,duration,poutcome,month
106,duration,poutcome,month
107,duration,poutcome,month
108,duration,poutcome,month
109,duration,poutcome,month
110,duration,poutcome,month
111,duration,poutcome,month
112,duration,poutcome,job
113,duration,poutcome,job
114,duration,poutcome,job
115,duration,poutcome,job
116,duration,poutcome,job
117,duration,poutcome,job
118,duration,poutcome,job
119,duration,poutcome,job
120,duration,poutcome,job
121,duration,poutcome,job
122,duration,poutcome,job
123,duration,poutcome,month
124,duration,poutcome,month
125,duration,poutcome,month
126,duration,poutcome,month
127,duration,poutcome,month
128,duration,poutcome,month
129,duration,poutcome,month
130,duration,poutcome,month
131,duration,poutcome,month
132,duration,poutcome,month
133,duration,poutcome,month
134,duration,poutcome,month
135,duration,poutcome,month
136,duration,poutcome,month
137,duration,poutcome,month
138,duration,poutcome,month
139,duration,poutcome,month
140,duration,poutcome,month
141,duration,poutcome,month
142,duration,poutcome,month
143,duration,poutcome,month
144,duration,poutcome,month
145,duration,poutcome,month
146,duration,poutcome,month
0,lower,apr,admin.
1,lower,apr,blue-collar
2,lower,apr,entrepreneur
3,lower,apr,housemaid
4,lower,apr,management
5,lower,apr,retired
6,lower,apr,self-employed
7,lower,apr,services
8,lower,apr,student
9,lower,apr,technician
10,lower,apr,unemployed
11,lower,aug,failure
12,lower,aug,other
13,lower,aug,success
14,lower,aug,unknown
15,lower,dec,admin.
16,lower,dec,blue-collar
17,lower,dec,entrepreneur
18,lower,dec,housemaid
19,lower,dec,management
20,lower,dec,retired
21,lower,dec,self-employed
22,lower,dec,services
23,lower,dec,student
24,lower,dec,technician
25,lower,dec,unemployed
26,lower,feb,admin.
27,lower,feb,blue-collar
28,lower,feb,entrepreneur
29,lower,feb,housemaid
30,lower,feb,management
31,lower,feb,retired
32,lower,feb,self-employed
33,lower,feb,services
34,lower,feb,student
35,lower,feb,technician
36,lower,feb,unemployed
37,lower,jan,admin.
38,lower,jan,blue-collar
39,lower,jan,entrepreneur
40,lower,jan,housemaid
41,lower,jan,management
42,lower,jan,retired
43,lower,jan,self-employed
44,lower,jan,services
45,lower,jan,student
46,lower,jan,technician
47,lower,jan,unemployed
48,lower,jul,lower
49,lower,jul,upper
50,lower,jun,failure
51,lower,jun,other
52,lower,jun,success
53,lower,jun,unknown
54,lower,mar,admin.
55,lower,mar,blue-collar
56,lower,mar,entrepreneur
57,lower,mar,housemaid
58,lower,mar,management
59,lower,mar,retired
60,lower,mar,self-employed
61,lower,mar,services
62,lower,mar,student
63,lower,mar,technician
64,lower,mar,unemployed
65,lower,may,admin.
66,lower,may,blue-collar
67,lower,may,entrepreneur
68,lower,may,housemaid
69,lower,may,management
70,lower,may,retired
71,lower,may,self-employed
72,lower,may,services
73,lower,may,student
74,lower,may,technician
75,lower,may,unemployed
76,lower,nov,lower
77,lower,nov,upper
78,lower,oct,admin.
79,lower,oct,blue-collar
80,lower,oct,entrepreneur
81,lower,oct,housemaid
82,lower,oct,management
83,lower,oct,retired
84,lower,oct,self-employed
85,lower,oct,services
86,lower,oct,student
87,lower,oct,technician
88,lower,oct,unemployed
89,lower,sep,admin.
90,lower,sep,blue-collar
91,lower,sep,entrepreneur
