,0,1,2,3
0,duration,month,job,education
1,duration,month,job,education
2,duration,month,job,education
3,duration,month,job,education
4,duration,month,job,poutcome
5,duration,month,job,poutcome
6,duration,month,job,poutcome
7,duration,month,job,poutcome
8,duration,month,job,
9,duration,month,job,
10,duration,month,job,housing
11,duration,month,job,housing
12,duration,month,job,
13,duration,month,job,marital
14,duration,month,job,marital
15,duration,month,job,marital
16,duration,month,job,
17,duration,month,job,balance
18,duration,month,job,balance
19,duration,month,job,contact
20,duration,month,job,contact
21,duration,month,job,contact
22,duration,month,job,
23,duration,month,job,
24,duration,month,poutcome,job
25,duration,month,poutcome,job
26,duration,month,poutcome,job
27,duration,month,poutcome,job
28,duration,month,poutcome,job
29,duration,month,poutcome,job
30,duration,month,poutcome,job
31,duration,month,poutcome,job
32,duration,month,poutcome,job
33,duration,month,poutcome,job
34,duration,month,poutcome,job
35,duration,month,poutcome,job
36,duration,month,poutcome,day
37,duration,month,poutcome,day
38,duration,month,poutcome,balance
39,duration,month,poutcome,balance
40,duration,month,poutcome,job
41,duration,month,poutcome,job
42,duration,month,poutcome,job
43,duration,month,poutcome,job
44,duration,month,poutcome,job
45,duration,month,poutcome,job
46,duration,month,poutcome,job
47,duration,month,poutcome,job
48,duration,month,poutcome,job
49,duration,month,poutcome,job
50,duration,month,poutcome,job
51,duration,month,poutcome,job
52,duration,month,job,
53,duration,month,job,
54,duration,month,job,
55,duration,month,job,
56,duration,month,job,
57,duration,month,job,
58,duration,month,job,
59,duration,month,job,
60,duration,month,job,
61,duration,month,job,
62,duration,month,job,
63,duration,month,job,
64,duration,month,job,
65,duration,month,job,poutcome
66,duration,month,job,poutcome
67,duration,month,job,poutcome
68,duration,month,job,poutcome
69,duration,month,job,
70,duration,month,job,
71,duration,month,job,education
72,duration,month,job,education
73,duration,month,job,education
74,duration,month,job,education
75,duration,month,job,housing
76,duration,month,job,housing
77,duration,month,job,
78,duration,month,job,
79,duration,month,job,housing
80,duration,month,job,housing
81,duration,month,job,
82,duration,month,job,day
83,duration,month,job,day
84,duration,month,job,
85,duration,month,job,
86,duration,month,job,
87,duration,month,job,
88,duration,month,job,
89,duration,month,job,marital
90,duration,month,job,marital
91,duration,month,job,marital
92,duration,month,job,
93,duration,month,job,
94,duration,month,job,
95,duration,month,job,
96,duration,month,job,
97,duration,month,job,
98,duration,month,job,
99,duration,month,day,job
100,duration,month,day,job
101,duration,month,day,job
102,duration,month,day,job
103,duration,month,day,job
104,duration,month,day,job
105,duration,month,day,job
106,duration,month,day,job
107,duration,month,day,job
108,duration,month,day,job
109,duration,month,day,job
110,duration,month,day,job
111,duration,month,day,
112,duration,month,contact,job
113,duration,month,contact,job
114,duration,month,contact,job
115,duration,month,contact,job
116,duration,month,contact,job
117,duration,month,contact,job
118,duration,month,contact,job
119,duration,month,contact,job
120,duration,month,contact,job
121,duration,month,contact,job
122,duration,month,contact,job
123,duration,month,contact,job
124,duration,month,contact,
125,duration,month,contact,
126,duration,month,job,
127,duration,month,job,
128,duration,month,job,
129,duration,month,job,
130,duration,month,job,campaign
131,duration,month,job,campaign
132,duration,month,job,contact
133,duration,month,job,contact
134,duration,month,job,contact
135,duration,month,job,
136,duration,month,job,
137,duration,month,job,balance
138,duration,month,job,balance
139,duration,month,job,
140,duration,month,job,marital
141,duration,month,job,marital
142,duration,month,job,marital
143,duration,month,job,
144,duration,month,job,education
145,duration,month,job,education
146,duration,month,job,education
147,duration,month,job,education
148,duration,month,job,
149,duration,month,job,
150,duration,month,job,
151,duration,month,job,poutcome
152,duration,month,job,poutcome
153,duration,month,job,poutcome
154,duration,month,job,poutcome
155,duration,month,job,
156,duration,month,job,
157,duration,month,job,marital
158,duration,month,job,marital
159,duration,month,job,marital
160,duration,month,job,
161,duration,month,job,
162,duration,month,job,housing
163,duration,month,job,housing
164,duration,month,job,
165,duration,month,day,job
166,duration,month,day,job
167,duration,month,day,job
168,duration,month,day,job
169,duration,month,day,job
170,duration,month,day,job
171,duration,month,day,job
172,duration,month,day,job
173,duration,month,day,job
174,duration,month,day,job
175,duration,month,day,job
176,duration,month,day,job
177,duration,month,day,contact
178,duration,month,day,contact
179,duration,month,day,contact
180,duration,month,education,
181,duration,month,education,balance
182,duration,month,education,balance
183,duration,month,education,job
184,duration,month,education,job
185,duration,month,education,job
186,duration,month,education,job
187,duration,month,education,job
188,duration,month,education,job
189,duration,month,education,job
190,duration,month,education,job
191,duration,month,education,job
192,duration,month,education,job
193,duration,month,education,job
194,duration,month,education,job
195,duration,month,education,
196,duration,month,education,
197,duration,month,education,job
198,duration,month,education,job
199,duration,month,education,job
200,duration,month,education,job
201,duration,month,education,job
202,duration,month,education,job
203,duration,month,education,job
204,duration,month,education,job
205,duration,month,education,job
206,duration,month,education,job
207,duration,month,education,job
208,duration,month,education,job
209,duration,month,education,balance
210,duration,month,education,balance
211,duration,month,education,
212,duration,poutcome,month,job
213,duration,poutcome,month,job
214,duration,poutcome,month,job
215,duration,poutcome,month,job
216,duration,poutcome,month,job
217,duration,poutcome,month,job
218,duration,poutcome,month,job
219,duration,poutcome,month,job
220,duration,poutcome,month,job
221,duration,poutcome,month,job
222,duration,poutcome,month,job
223,duration,poutcome,month,job
224,duration,poutcome,month,job
225,duration,poutcome,month,job
226,duration,poutcome,month,job
227,duration,poutcome,month,job
228,duration,poutcome,month,job
229,duration,poutcome,month,job
230,duration,poutcome,month,job
231,duration,poutcome,month,job
232,duration,poutcome,month,job
233,duration,poutcome,month,job
234,duration,poutcome,month,job
235,duration,poutcome,month,job
236,duration,poutcome,month,job
237,duration,poutcome,month,job
238,duration,poutcome,month,job
239,duration,poutcome,month,job
240,duration,poutcome,month,job
241,duration,poutcome,month,job
242,duration,poutcome,month,job
243,duration,poutcome,month,job
244,duration,poutcome,month,job
245,duration,poutcome,month,job
246,duration,poutcome,month,job
247,duration,poutcome,month,job
248,duration,poutcome,month,job
249,duration,poutcome,month,job
250,duration,poutcome,month,job
251,duration,poutcome,month,job
252,duration,poutcome,month,job
253,duration,poutcome,month,job
254,duration,poutcome,month,job
255,duration,poutcome,month,job
256,duration,poutcome,month,job
257,duration,poutcome,month,job
258,duration,poutcome,month,job
259,duration,poutcome,month,job
260,duration,poutcome,month,
261,duration,poutcome,month,job
262,duration,poutcome,month,job
263,duration,poutcome,month,job
264,duration,poutcome,month,job
265,duration,poutcome,month,job
266,duration,poutcome,month,job
267,duration,poutcome,month,job
268,duration,poutcome,month,job
269,duration,poutcome,month,job
270,duration,poutcome,month,job
271,duration,poutcome,month,job
272,duration,poutcome,month,job
273,duration,poutcome,month,job
274,duration,poutcome,month,job
275,duration,poutcome,month,job
276,duration,poutcome,month,job
277,duration,poutcome,month,job
278,duration,poutcome,month,job
279,duration,poutcome,month,job
280,duration,poutcome,month,job
281,duration,poutcome,month,job
282,duration,poutcome,month,job
283,duration,poutcome,month,job
284,duration,poutcome,month,job
285,duration,poutcome,month,education
286,duration,poutcome,month,education
287,duration,poutcome,month,education
288,duration,poutcome,month,education
289,duration,poutcome,month,job
