,0,1,2,3,4
0,duration,month,job,education,
1,duration,month,job,education,
2,duration,month,job,education,housing
3,duration,month,job,education,housing
4,duration,month,job,education,
5,duration,month,job,poutcome,
6,duration,month,job,poutcome,
7,duration,month,job,poutcome,
8,duration,month,job,poutcome,
9,duration,month,job,,
10,duration,month,job,,
11,duration,month,job,housing,campaign
12,duration,month,job,housing,campaign
13,duration,month,job,housing,
14,duration,month,job,,
15,duration,month,job,marital,
16,duration,month,job,marital,
17,duration,month,job,marital,
18,duration,month,job,,
19,duration,month,job,balance,
20,duration,month,job,balance,
21,duration,month,job,contact,marital
22,duration,month,job,contact,marital
23,duration,month,job,contact,marital
24,duration,month,job,contact,
25,duration,month,job,contact,
26,duration,month,job,,
27,duration,month,job,,
28,duration,month,poutcome,job,
29,duration,month,poutcome,job,
30,duration,month,poutcome,job,
31,duration,month,poutcome,job,
32,duration,month,poutcome,job,marital
33,duration,month,poutcome,job,marital
34,duration,month,poutcome,job,marital
35,duration,month,poutcome,job,
36,duration,month,poutcome,job,
37,duration,month,poutcome,job,
38,duration,month,poutcome,job,contact
39,duration,month,poutcome,job,contact
40,duration,month,poutcome,job,contact
41,duration,month,poutcome,job,marital
42,duration,month,poutcome,job,marital
43,duration,month,poutcome,job,marital
44,duration,month,poutcome,job,
45,duration,month,poutcome,job,
46,duration,month,poutcome,day,
47,duration,month,poutcome,day,
48,duration,month,poutcome,balance,
49,duration,month,poutcome,balance,
50,duration,month,poutcome,job,
51,duration,month,poutcome,job,
52,duration,month,poutcome,job,
53,duration,month,poutcome,job,
54,duration,month,poutcome,job,
55,duration,month,poutcome,job,
56,duration,month,poutcome,job,
57,duration,month,poutcome,job,
58,duration,month,poutcome,job,
59,duration,month,poutcome,job,education
60,duration,month,poutcome,job,education
61,duration,month,poutcome,job,education
62,duration,month,poutcome,job,education
63,duration,month,poutcome,job,balance
64,duration,month,poutcome,job,balance
65,duration,month,poutcome,job,
66,duration,month,job,,
67,duration,month,job,,
68,duration,month,job,,
69,duration,month,job,,
70,duration,month,job,,
71,duration,month,job,,
72,duration,month,job,,
73,duration,month,job,,
74,duration,month,job,,
75,duration,month,job,,
76,duration,month,job,,
77,duration,month,job,,
78,duration,month,job,,
79,duration,month,job,poutcome,
80,duration,month,job,poutcome,
81,duration,month,job,poutcome,
82,duration,month,job,poutcome,campaign
83,duration,month,job,poutcome,campaign
84,duration,month,job,,
85,duration,month,job,,
86,duration,month,job,education,
87,duration,month,job,education,
88,duration,month,job,education,poutcome
89,duration,month,job,education,poutcome
90,duration,month,job,education,poutcome
91,duration,month,job,education,poutcome
92,duration,month,job,education,
93,duration,month,job,housing,
94,duration,month,job,housing,education
95,duration,month,job,housing,education
96,duration,month,job,housing,education
97,duration,month,job,housing,education
98,duration,month,job,,
99,duration,month,job,,
100,duration,month,job,housing,
101,duration,month,job,housing,
102,duration,month,job,,
103,duration,month,job,day,
104,duration,month,job,day,
105,duration,month,job,,
106,duration,month,job,,
107,duration,month,job,,
108,duration,month,job,,
109,duration,month,job,,
110,duration,month,job,marital,
111,duration,month,job,marital,
112,duration,month,job,marital,age
113,duration,month,job,marital,age
114,duration,month,job,,
115,duration,month,job,,
116,duration,month,job,,
117,duration,month,job,,
118,duration,month,job,,
119,duration,month,job,,
120,duration,month,job,,
121,duration,month,day,job,contact
122,duration,month,day,job,contact
123,duration,month,day,job,contact
124,duration,month,day,job,contact
125,duration,month,day,job,contact
126,duration,month,day,job,contact
127,duration,month,day,job,loan
128,duration,month,day,job,loan
129,duration,month,day,job,
130,duration,month,day,job,balance
131,duration,month,day,job,balance
132,duration,month,day,job,
133,duration,month,day,job,
134,duration,month,day,job,
135,duration,month,day,job,
136,duration,month,day,job,
137,duration,month,day,job,
138,duration,month,day,job,
139,duration,month,day,,
140,duration,month,contact,job,loan
141,duration,month,contact,job,loan
142,duration,month,contact,job,age
143,duration,month,contact,job,age
144,duration,month,contact,job,
145,duration,month,contact,job,
146,duration,month,contact,job,day
147,duration,month,contact,job,day
148,duration,month,contact,job,
149,duration,month,contact,job,
150,duration,month,contact,job,
151,duration,month,contact,job,
152,duration,month,contact,job,balance
153,duration,month,contact,job,balance
154,duration,month,contact,job,
155,duration,month,contact,job,
156,duration,month,contact,,
157,duration,month,contact,,
158,duration,month,job,,
159,duration,month,job,,
160,duration,month,job,,
161,duration,month,job,,
162,duration,month,job,campaign,marital
163,duration,month,job,campaign,marital
164,duration,month,job,campaign,marital
165,duration,month,job,campaign,
166,duration,month,job,contact,
167,duration,month,job,contact,
168,duration,month,job,contact,
169,duration,month,job,,
170,duration,month,job,,
171,duration,month,job,balance,
172,duration,month,job,balance,
173,duration,month,job,,
174,duration,month,job,marital,
175,duration,month,job,marital,
176,duration,month,job,marital,
177,duration,month,job,,
178,duration,month,job,education,
179,duration,month,job,education,
180,duration,month,job,education,balance
181,duration,month,job,education,balance
182,duration,month,job,education,
183,duration,month,job,,
184,duration,month,job,,
185,duration,month,job,,
186,duration,month,job,poutcome,
187,duration,month,job,poutcome,
188,duration,month,job,poutcome,housing
189,duration,month,job,poutcome,housing
190,duration,month,job,poutcome,
191,duration,month,job,,
192,duration,month,job,,
193,duration,month,job,marital,
194,duration,month,job,marital,
195,duration,month,job,marital,day
196,duration,month,job,marital,day
197,duration,month,job,,
198,duration,month,job,,
199,duration,month,job,housing,contact
200,duration,month,job,housing,contact
201,duration,month,job,housing,contact
202,duration,month,job,housing,
203,duration,month,job,,
204,duration,month,day,job,
205,duration,month,day,job,age
206,duration,month,day,job,age
207,duration,month,day,job,
208,duration,month,day,job,
209,duration,month,day,job,campaign
210,duration,month,day,job,campaign
211,duration,month,day,job,
212,duration,month,day,job,
213,duration,month,day,job,
214,duration,month,day,job,
215,duration,month,day,job,
216,duration,month,day,job,
217,duration,month,day,job,
218,duration,month,day,contact,
219,duration,month,day,contact,
220,duration,month,day,contact,job
221,duration,month,day,contact,job
222,duration,month,day,contact,job
223,duration,month,day,contact,job
224,duration,month,day,contact,job
225,duration,month,day,contact,job
226,duration,month,day,contact,job
227,duration,month,day,contact,job
228,duration,month,day,contact,job
229,duration,month,day,contact,job
230,duration,month,day,contact,job
231,duration,month,day,contact,job
232,duration,month,education,,
233,duration,month,education,balance,job
234,duration,month,education,balance,job
235,duration,month,education,balance,job
236,duration,month,education,balance,job
237,duration,month,education,balance,job
238,duration,month,education,balance,job
239,duration,month,education,balance,job
240,duration,month,education,balance,job
241,duration,month,education,balance,job
242,duration,month,education,balance,job
243,duration,month,education,balance,job
244,duration,month,education,balance,job
245,duration,month,education,balance,housing
246,duration,month,education,balance,housing
247,duration,month,education,job,
248,duration,month,education,job,
249,duration,month,education,job,
250,duration,month,education,job,
251,duration,month,education,job,age
252,duration,month,education,job,age
253,duration,month,education,job,
254,duration,month,education,job,
255,duration,month,education,job,
256,duration,month,education,job,
257,duration,month,education,job,
258,duration,month,education,job,
259,duration,month,education,job,
260,duration,month,education,,
261,duration,month,education,,
262,duration,month,education,job,
263,duration,month,education,job,
264,duration,month,education,job,
265,duration,month,education,job,
