,0,1,2,3,4,5
0,duration,month,job,education,,
1,duration,month,job,education,,
2,duration,month,job,education,housing,
3,duration,month,job,education,housing,
4,duration,month,job,education,,
5,duration,month,job,poutcome,,
6,duration,month,job,poutcome,,
7,duration,month,job,poutcome,,
8,duration,month,job,poutcome,,
9,duration,month,job,,,
10,duration,month,job,,,
11,duration,month,job,housing,campaign,
12,duration,month,job,housing,campaign,
13,duration,month,job,housing,,
14,duration,month,job,,,
15,duration,month,job,marital,,
16,duration,month,job,marital,,
17,duration,month,job,marital,,
18,duration,month,job,,,
19,duration,month,job,balance,,
20,duration,month,job,balance,,
21,duration,month,job,contact,marital,housing
22,duration,month,job,contact,marital,housing
23,duration,month,job,contact,marital,balance
24,duration,month,job,contact,marital,balance
25,duration,month,job,contact,marital,
26,duration,month,job,contact,,
27,duration,month,job,contact,,
28,duration,month,job,,,
29,duration,month,job,,,
30,duration,month,poutcome,job,,
31,duration,month,poutcome,job,,
32,duration,month,poutcome,job,,
33,duration,month,poutcome,job,,
34,duration,month,poutcome,job,marital,
35,duration,month,poutcome,job,marital,
36,duration,month,poutcome,job,marital,age
37,duration,month,poutcome,job,marital,age
38,duration,month,poutcome,job,,
39,duration,month,poutcome,job,,
40,duration,month,poutcome,job,,
41,duration,month,poutcome,job,contact,
42,duration,month,poutcome,job,contact,
43,duration,month,poutcome,job,contact,
44,duration,month,poutcome,job,marital,
45,duration,month,poutcome,job,marital,education
46,duration,month,poutcome,job,marital,education
47,duration,month,poutcome,job,marital,education
48,duration,month,poutcome,job,marital,education
49,duration,month,poutcome,job,marital,
50,duration,month,poutcome,job,,
51,duration,month,poutcome,job,,
52,duration,month,poutcome,day,,
53,duration,month,poutcome,day,,
54,duration,month,poutcome,balance,,
55,duration,month,poutcome,balance,,
56,duration,month,poutcome,job,,
57,duration,month,poutcome,job,,
58,duration,month,poutcome,job,,
59,duration,month,poutcome,job,,
60,duration,month,poutcome,job,,
61,duration,month,poutcome,job,,
62,duration,month,poutcome,job,,
63,duration,month,poutcome,job,,
64,duration,month,poutcome,job,,
65,duration,month,poutcome,job,education,
66,duration,month,poutcome,job,education,
67,duration,month,poutcome,job,education,campaign
68,duration,month,poutcome,job,education,campaign
69,duration,month,poutcome,job,education,
70,duration,month,poutcome,job,balance,
71,duration,month,poutcome,job,balance,
72,duration,month,poutcome,job,,
73,duration,month,job,,,
74,duration,month,job,,,
75,duration,month,job,,,
76,duration,month,job,,,
77,duration,month,job,,,
78,duration,month,job,,,
79,duration,month,job,,,
80,duration,month,job,,,
81,duration,month,job,,,
82,duration,month,job,,,
83,duration,month,job,,,
84,duration,month,job,,,
85,duration,month,job,,,
86,duration,month,job,poutcome,,
87,duration,month,job,poutcome,,
88,duration,month,job,poutcome,,
89,duration,month,job,poutcome,campaign,education
90,duration,month,job,poutcome,campaign,education
91,duration,month,job,poutcome,campaign,education
92,duration,month,job,poutcome,campaign,education
93,duration,month,job,poutcome,campaign,
94,duration,month,job,,,
95,duration,month,job,,,
96,duration,month,job,education,,
97,duration,month,job,education,,
98,duration,month,job,education,poutcome,
99,duration,month,job,education,poutcome,
100,duration,month,job,education,poutcome,age
101,duration,month,job,education,poutcome,age
102,duration,month,job,education,poutcome,marital
103,duration,month,job,education,poutcome,marital
104,duration,month,job,education,poutcome,marital
105,duration,month,job,education,,
106,duration,month,job,housing,,
107,duration,month,job,housing,education,
108,duration,month,job,housing,education,
109,duration,month,job,housing,education,
110,duration,month,job,housing,education,
111,duration,month,job,,,
112,duration,month,job,,,
113,duration,month,job,housing,,
114,duration,month,job,housing,,
115,duration,month,job,,,
116,duration,month,job,day,,
117,duration,month,job,day,,
118,duration,month,job,,,
119,duration,month,job,,,
120,duration,month,job,,,
121,duration,month,job,,,
122,duration,month,job,,,
123,duration,month,job,marital,,
124,duration,month,job,marital,,
125,duration,month,job,marital,age,
126,duration,month,job,marital,age,
127,duration,month,job,,,
128,duration,month,job,,,
129,duration,month,job,,,
130,duration,month,job,,,
131,duration,month,job,,,
132,duration,month,job,,,
133,duration,month,job,,,
134,duration,month,day,job,contact,
135,duration,month,day,job,contact,
136,duration,month,day,job,contact,age
137,duration,month,day,job,contact,age
138,duration,month,day,job,contact,
139,duration,month,day,job,contact,campaign
140,duration,month,day,job,contact,campaign
141,duration,month,day,job,contact,
142,duration,month,day,job,loan,
143,duration,month,day,job,loan,marital
144,duration,month,day,job,loan,marital
145,duration,month,day,job,loan,marital
146,duration,month,day,job,,
147,duration,month,day,job,balance,
148,duration,month,day,job,balance,housing
149,duration,month,day,job,balance,housing
150,duration,month,day,job,,
151,duration,month,day,job,,
152,duration,month,day,job,,
153,duration,month,day,job,,
154,duration,month,day,job,,
155,duration,month,day,job,,
156,duration,month,day,job,,
157,duration,month,day,,,
158,duration,month,contact,job,loan,
159,duration,month,contact,job,loan,
160,duration,month,contact,job,age,
161,duration,month,contact,job,age,day
162,duration,month,contact,job,age,day
163,duration,month,contact,job,,
164,duration,month,contact,job,,
165,duration,month,contact,job,day,
166,duration,month,contact,job,day,age
167,duration,month,contact,job,day,age
168,duration,month,contact,job,,
169,duration,month,contact,job,,
170,duration,month,contact,job,,
171,duration,month,contact,job,,
172,duration,month,contact,job,balance,
173,duration,month,contact,job,balance,age
174,duration,month,contact,job,balance,age
175,duration,month,contact,job,,
176,duration,month,contact,job,,
177,duration,month,contact,,,
178,duration,month,contact,,,
179,duration,month,job,,,
180,duration,month,job,,,
181,duration,month,job,,,
182,duration,month,job,,,
183,duration,month,job,campaign,marital,
184,duration,month,job,campaign,marital,
185,duration,month,job,campaign,marital,education
186,duration,month,job,campaign,marital,education
187,duration,month,job,campaign,marital,education
188,duration,month,job,campaign,marital,education
189,duration,month,job,campaign,,
190,duration,month,job,contact,,
191,duration,month,job,contact,,
192,duration,month,job,contact,,
193,duration,month,job,,,
194,duration,month,job,,,
195,duration,month,job,balance,,
196,duration,month,job,balance,,
197,duration,month,job,,,
198,duration,month,job,marital,,
199,duration,month,job,marital,,
200,duration,month,job,marital,,
201,duration,month,job,,,
202,duration,month,job,education,,
203,duration,month,job,education,,
204,duration,month,job,education,balance,marital
205,duration,month,job,education,balance,marital
206,duration,month,job,education,balance,marital
207,duration,month,job,education,balance,
208,duration,month,job,education,,
209,duration,month,job,,,
210,duration,month,job,,,
211,duration,month,job,,,
212,duration,month,job,poutcome,,
213,duration,month,job,poutcome,,
214,duration,month,job,poutcome,housing,
215,duration,month,job,poutcome,housing,
216,duration,month,job,poutcome,,
217,duration,month,job,,,
218,duration,month,job,,,
219,duration,month,job,marital,,
220,duration,month,job,marital,,
221,duration,month,job,marital,day,
222,duration,month,job,marital,day,education
223,duration,month,job,marital,day,education
224,duration,month,job,marital,day,education
225,duration,month,job,marital,day,education
226,duration,month,job,,,
227,duration,month,job,,,
228,duration,month,job,housing,contact,
229,duration,month,job,housing,contact,
230,duration,month,job,housing,contact,
231,duration,month,job,housing,,
232,duration,month,job,,,
233,duration,month,day,job,,
234,duration,month,day,job,age,
235,duration,month,day,job,age,
236,duration,month,day,job,,
