,0,1,2,3,4,5
0,duration,month,job,education,,
1,duration,month,job,education,,
2,duration,month,job,education,housing,
3,duration,month,job,education,housing,
4,duration,month,job,poutcome,,
5,duration,month,job,poutcome,,
6,duration,month,job,poutcome,,
7,duration,month,job,poutcome,,
8,duration,month,job,,,
9,duration,month,job,,,
10,duration,month,job,housing,campaign,
11,duration,month,job,housing,campaign,
12,duration,month,job,housing,,
13,duration,month,job,,,
14,duration,month,job,marital,,
15,duration,month,job,marital,,
16,duration,month,job,marital,,
17,duration,month,job,,,
18,duration,month,job,balance,,
19,duration,month,job,balance,,
20,duration,month,job,marital,housing,
21,duration,month,job,marital,housing,
22,duration,month,job,marital,day,balance
23,duration,month,job,marital,day,balance
24,duration,month,job,marital,day,
25,duration,month,job,marital,,
26,duration,month,job,,,
27,duration,month,poutcome,job,,
28,duration,month,poutcome,job,,
29,duration,month,poutcome,job,,
30,duration,month,poutcome,job,,
31,duration,month,poutcome,job,marital,
32,duration,month,poutcome,job,marital,
33,duration,month,poutcome,job,marital,age
34,duration,month,poutcome,job,marital,age
35,duration,month,poutcome,job,,
36,duration,month,poutcome,job,,
37,duration,month,poutcome,job,,
38,duration,month,poutcome,job,contact,
39,duration,month,poutcome,job,contact,
40,duration,month,poutcome,job,marital,
41,duration,month,poutcome,job,marital,education
42,duration,month,poutcome,job,marital,education
43,duration,month,poutcome,job,marital,education
44,duration,month,poutcome,job,marital,
45,duration,month,poutcome,job,,
46,duration,month,poutcome,day,,
47,duration,month,poutcome,day,,
48,duration,month,poutcome,balance,,
49,duration,month,poutcome,balance,,
50,duration,month,poutcome,job,,
51,duration,month,poutcome,job,,
52,duration,month,poutcome,job,,
53,duration,month,poutcome,job,,
54,duration,month,poutcome,job,,
55,duration,month,poutcome,job,,
56,duration,month,poutcome,job,,
57,duration,month,poutcome,job,,
58,duration,month,poutcome,job,,
59,duration,month,poutcome,job,education,
60,duration,month,poutcome,job,education,
61,duration,month,poutcome,job,education,campaign
62,duration,month,poutcome,job,education,campaign
63,duration,month,poutcome,job,balance,
64,duration,month,poutcome,job,balance,
65,duration,month,job,,,
66,duration,month,job,,,
67,duration,month,job,,,
68,duration,month,job,,,
69,duration,month,job,,,
70,duration,month,job,,,
71,duration,month,job,,,
72,duration,month,job,,,
73,duration,month,job,,,
74,duration,month,job,,,
75,duration,month,job,,,
76,duration,month,job,,,
77,duration,month,job,poutcome,,
78,duration,month,job,poutcome,,
79,duration,month,job,poutcome,,
80,duration,month,job,poutcome,campaign,education
81,duration,month,job,poutcome,campaign,education
82,duration,month,job,poutcome,campaign,education
83,duration,month,job,poutcome,campaign,
84,duration,month,job,,,
85,duration,month,job,,,
86,duration,month,job,poutcome,,
87,duration,month,job,poutcome,,
88,duration,month,job,poutcome,age,
89,duration,month,job,poutcome,age,
90,duration,month,job,poutcome,marital,education
91,duration,month,job,poutcome,marital,education
92,duration,month,job,poutcome,marital,education
93,duration,month,job,poutcome,marital,education
94,duration,month,job,poutcome,marital,education
95,duration,month,job,poutcome,marital,education
96,duration,month,job,poutcome,marital,
97,duration,month,job,housing,,
98,duration,month,job,housing,education,
99,duration,month,job,housing,education,
100,duration,month,job,housing,education,
101,duration,month,job,,,
102,duration,month,job,,,
103,duration,month,job,housing,,
104,duration,month,job,housing,,
105,duration,month,job,,,
106,duration,month,job,day,,
107,duration,month,job,day,,
108,duration,month,job,,,
109,duration,month,job,,,
110,duration,month,job,,,
111,duration,month,job,,,
112,duration,month,job,marital,,
113,duration,month,job,marital,,
114,duration,month,job,marital,age,
115,duration,month,job,marital,age,
116,duration,month,job,,,
117,duration,month,job,,,
118,duration,month,job,,,
119,duration,month,job,,,
120,duration,month,job,,,
121,duration,month,job,,,
122,duration,month,day,job,balance,
123,duration,month,day,job,balance,loan
124,duration,month,day,job,balance,loan
125,duration,month,day,job,contact,
126,duration,month,day,job,contact,campaign
127,duration,month,day,job,contact,campaign
128,duration,month,day,job,loan,
129,duration,month,day,job,loan,marital
130,duration,month,day,job,loan,marital
131,duration,month,day,job,loan,marital
132,duration,month,day,job,,
133,duration,month,day,job,balance,
134,duration,month,day,job,balance,housing
135,duration,month,day,job,balance,housing
136,duration,month,day,job,,
137,duration,month,day,job,,
138,duration,month,day,job,,
139,duration,month,day,job,,
140,duration,month,day,job,,
141,duration,month,day,job,,
142,duration,month,day,,,
143,duration,month,poutcome,job,,
144,duration,month,poutcome,job,marital,
145,duration,month,poutcome,job,marital,
146,duration,month,poutcome,job,marital,
147,duration,month,poutcome,job,,
148,duration,month,poutcome,job,,
149,duration,month,poutcome,job,,
150,duration,month,poutcome,job,,
151,duration,month,poutcome,job,,
152,duration,month,poutcome,job,,
153,duration,month,poutcome,job,,
154,duration,month,poutcome,job,,
155,duration,month,poutcome,job,,
156,duration,month,poutcome,,,
157,duration,month,poutcome,job,,
158,duration,month,poutcome,job,,
159,duration,month,poutcome,job,,
160,duration,month,poutcome,job,,
161,duration,month,poutcome,job,,
162,duration,month,poutcome,job,,
163,duration,month,poutcome,job,,
164,duration,month,poutcome,job,,
165,duration,month,poutcome,job,,
166,duration,month,poutcome,job,,
167,duration,month,poutcome,job,,
168,duration,month,poutcome,education,,
169,duration,month,poutcome,education,marital,age
170,duration,month,poutcome,education,marital,age
171,duration,month,poutcome,education,marital,
172,duration,month,poutcome,education,marital,
173,duration,month,poutcome,education,job,
174,duration,month,poutcome,education,job,
175,duration,month,poutcome,education,job,
176,duration,month,poutcome,education,job,
177,duration,month,poutcome,education,job,marital
178,duration,month,poutcome,education,job,marital
179,duration,month,poutcome,education,job,marital
180,duration,month,poutcome,education,job,
181,duration,month,poutcome,education,job,
182,duration,month,poutcome,education,job,
183,duration,month,poutcome,education,job,
184,duration,month,poutcome,education,job,campaign
185,duration,month,poutcome,education,job,campaign
186,duration,month,poutcome,education,job,
187,duration,month,job,,,
188,duration,month,job,,,
189,duration,month,job,,,
190,duration,month,job,,,
191,duration,month,job,campaign,marital,
192,duration,month,job,campaign,marital,
193,duration,month,job,campaign,marital,education
194,duration,month,job,campaign,marital,education
195,duration,month,job,campaign,marital,education
196,duration,month,job,campaign,,
197,duration,month,job,contact,,
198,duration,month,job,contact,,
199,duration,month,job,,,
200,duration,month,job,,,
201,duration,month,job,balance,,
202,duration,month,job,balance,,
203,duration,month,job,,,
204,duration,month,job,marital,,
205,duration,month,job,marital,,
206,duration,month,job,marital,,
207,duration,month,job,education,,
208,duration,month,job,education,,
209,duration,month,job,education,balance,marital
210,duration,month,job,education,balance,marital
211,duration,month,job,education,balance,marital
212,duration,month,job,education,balance,
213,duration,month,job,,,
214,duration,month,job,,,
215,duration,month,job,,,
216,duration,month,job,poutcome,,
217,duration,month,job,poutcome,,
218,duration,month,job,poutcome,housing,
219,duration,month,job,poutcome,housing,
220,duration,month,job,poutcome,,
221,duration,month,job,,,
222,duration,month,job,,,
223,duration,month,job,marital,,
224,duration,month,job,marital,,
225,duration,month,job,marital,day,
226,duration,month,job,marital,day,balance
227,duration,month,job,marital,day,balance
228,duration,month,job,,,
229,duration,month,job,,,
