,0,1,2,3,4,5,6
0,duration,month,job,education,,,
1,duration,month,job,education,,,
2,duration,month,job,education,housing,,
3,duration,month,job,education,housing,,
4,duration,month,job,poutcome,,,
5,duration,month,job,poutcome,,,
6,duration,month,job,poutcome,,,
7,duration,month,job,poutcome,,,
8,duration,month,job,,,,
9,duration,month,job,,,,
10,duration,month,job,housing,campaign,,
11,duration,month,job,housing,campaign,,
12,duration,month,job,housing,,,
13,duration,month,job,,,,
14,duration,month,job,marital,,,
15,duration,month,job,marital,,,
16,duration,month,job,marital,,,
17,duration,month,job,,,,
18,duration,month,job,balance,,,
19,duration,month,job,balance,,,
20,duration,month,job,marital,housing,,
21,duration,month,job,marital,housing,,
22,duration,month,job,marital,day,balance,
23,duration,month,job,marital,day,balance,housing
24,duration,month,job,marital,day,balance,housing
25,duration,month,job,marital,day,,
26,duration,month,job,marital,,,
27,duration,month,job,,,,
28,duration,month,poutcome,job,,,
29,duration,month,poutcome,job,,,
30,duration,month,poutcome,job,,,
31,duration,month,poutcome,job,,,
32,duration,month,poutcome,job,marital,,
33,duration,month,poutcome,job,marital,,
34,duration,month,poutcome,job,marital,age,balance
35,duration,month,poutcome,job,marital,age,balance
36,duration,month,poutcome,job,marital,age,
37,duration,month,poutcome,job,,,
38,duration,month,poutcome,job,,,
39,duration,month,poutcome,job,,,
40,duration,month,poutcome,job,contact,,
41,duration,month,poutcome,job,contact,,
42,duration,month,poutcome,job,marital,,
43,duration,month,poutcome,job,marital,education,
44,duration,month,poutcome,job,marital,education,
45,duration,month,poutcome,job,marital,education,
46,duration,month,poutcome,job,marital,,
47,duration,month,poutcome,job,,,
48,duration,month,poutcome,day,,,
49,duration,month,poutcome,day,,,
50,duration,month,poutcome,balance,,,
51,duration,month,poutcome,balance,,,
52,duration,month,poutcome,job,,,
53,duration,month,poutcome,job,,,
54,duration,month,poutcome,job,,,
55,duration,month,poutcome,job,,,
56,duration,month,poutcome,job,,,
57,duration,month,poutcome,job,,,
58,duration,month,poutcome,job,,,
59,duration,month,poutcome,job,,,
60,duration,month,poutcome,job,,,
61,duration,month,poutcome,job,education,,
62,duration,month,poutcome,job,education,,
63,duration,month,poutcome,job,education,campaign,balance
64,duration,month,poutcome,job,education,campaign,balance
65,duration,month,poutcome,job,education,campaign,balance
66,duration,month,poutcome,job,education,campaign,balance
67,duration,month,poutcome,job,balance,,
68,duration,month,poutcome,job,balance,,
69,duration,month,job,,,,
70,duration,month,job,,,,
71,duration,month,job,,,,
72,duration,month,job,,,,
73,duration,month,job,,,,
74,duration,month,job,,,,
75,duration,month,job,,,,
76,duration,month,job,,,,
77,duration,month,job,,,,
78,duration,month,job,,,,
79,duration,month,job,,,,
80,duration,month,job,,,,
81,duration,month,job,poutcome,,,
82,duration,month,job,poutcome,,,
83,duration,month,job,poutcome,,,
84,duration,month,job,poutcome,campaign,education,housing
85,duration,month,job,poutcome,campaign,education,housing
86,duration,month,job,poutcome,campaign,education,
87,duration,month,job,poutcome,campaign,education,
88,duration,month,job,poutcome,campaign,,
89,duration,month,job,,,,
90,duration,month,job,,,,
91,duration,month,job,poutcome,,,
92,duration,month,job,poutcome,,,
93,duration,month,job,poutcome,age,,
94,duration,month,job,poutcome,age,,
95,duration,month,job,poutcome,marital,education,
96,duration,month,job,poutcome,marital,education,
97,duration,month,job,poutcome,marital,education,
98,duration,month,job,poutcome,marital,education,
99,duration,month,job,poutcome,marital,education,
100,duration,month,job,poutcome,marital,education,day
101,duration,month,job,poutcome,marital,education,day
102,duration,month,job,poutcome,marital,,
103,duration,month,job,housing,,,
104,duration,month,job,housing,education,,
105,duration,month,job,housing,education,,
106,duration,month,job,housing,education,,
107,duration,month,job,,,,
108,duration,month,job,,,,
109,duration,month,job,housing,,,
110,duration,month,job,housing,,,
111,duration,month,job,,,,
112,duration,month,job,day,,,
113,duration,month,job,day,,,
114,duration,month,job,,,,
115,duration,month,job,,,,
116,duration,month,job,,,,
117,duration,month,job,,,,
118,duration,month,job,marital,,,
119,duration,month,job,marital,,,
120,duration,month,job,marital,age,,
121,duration,month,job,marital,age,,
122,duration,month,job,,,,
123,duration,month,job,,,,
124,duration,month,job,,,,
125,duration,month,job,,,,
126,duration,month,job,,,,
127,duration,month,job,,,,
128,duration,month,day,job,balance,,
129,duration,month,day,job,balance,loan,
130,duration,month,day,job,balance,loan,
131,duration,month,day,job,contact,,
132,duration,month,day,job,contact,campaign,age
133,duration,month,day,job,contact,campaign,age
134,duration,month,day,job,contact,campaign,
135,duration,month,day,job,loan,,
136,duration,month,day,job,loan,marital,
137,duration,month,day,job,loan,marital,
138,duration,month,day,job,loan,marital,
139,duration,month,day,job,,,
140,duration,month,day,job,balance,,
141,duration,month,day,job,balance,housing,age
142,duration,month,day,job,balance,housing,age
143,duration,month,day,job,balance,housing,
144,duration,month,day,job,,,
145,duration,month,day,job,,,
146,duration,month,day,job,,,
147,duration,month,day,job,,,
148,duration,month,day,job,,,
149,duration,month,day,job,,,
150,duration,month,day,,,,
151,duration,month,poutcome,job,,,
152,duration,month,poutcome,job,marital,,
153,duration,month,poutcome,job,marital,,
154,duration,month,poutcome,job,marital,,
155,duration,month,poutcome,job,,,
156,duration,month,poutcome,job,,,
157,duration,month,poutcome,job,,,
158,duration,month,poutcome,job,,,
159,duration,month,poutcome,job,,,
160,duration,month,poutcome,job,,,
161,duration,month,poutcome,job,,,
162,duration,month,poutcome,job,,,
163,duration,month,poutcome,job,,,
164,duration,month,poutcome,,,,
165,duration,month,poutcome,job,,,
166,duration,month,poutcome,job,,,
167,duration,month,poutcome,job,,,
168,duration,month,poutcome,job,,,
169,duration,month,poutcome,job,,,
170,duration,month,poutcome,job,,,
171,duration,month,poutcome,job,,,
172,duration,month,poutcome,job,,,
173,duration,month,poutcome,job,,,
174,duration,month,poutcome,job,,,
175,duration,month,poutcome,job,,,
176,duration,month,poutcome,education,,,
177,duration,month,poutcome,education,marital,age,job
178,duration,month,poutcome,education,marital,age,job
179,duration,month,poutcome,education,marital,age,job
180,duration,month,poutcome,education,marital,age,job
181,duration,month,poutcome,education,marital,age,job
182,duration,month,poutcome,education,marital,age,job
183,duration,month,poutcome,education,marital,age,job
184,duration,month,poutcome,education,marital,age,job
185,duration,month,poutcome,education,marital,age,job
186,duration,month,poutcome,education,marital,age,job
187,duration,month,poutcome,education,marital,age,job
188,duration,month,poutcome,education,marital,age,
189,duration,month,poutcome,education,marital,,
190,duration,month,poutcome,education,marital,,
191,duration,month,poutcome,education,job,,
192,duration,month,poutcome,education,job,,
193,duration,month,poutcome,education,job,,
194,duration,month,poutcome,education,job,,
195,duration,month,poutcome,education,job,marital,
196,duration,month,poutcome,education,job,marital,
197,duration,month,poutcome,education,job,marital,day
198,duration,month,poutcome,education,job,marital,day
199,duration,month,poutcome,education,job,,
200,duration,month,poutcome,education,job,,
201,duration,month,poutcome,education,job,,
202,duration,month,poutcome,education,job,,
203,duration,month,poutcome,education,job,campaign,day
204,duration,month,poutcome,education,job,campaign,day
205,duration,month,poutcome,education,job,campaign,
