,0,1,2,3,4,5,6,7,8
0,duration,month,job,education,,,,,
1,duration,month,job,education,,,,,
2,duration,month,job,education,housing,,,,
3,duration,month,job,education,housing,,,,
4,duration,month,job,education,,,,,
5,duration,month,job,poutcome,,,,,
6,duration,month,job,poutcome,,,,,
7,duration,month,job,poutcome,,,,,
8,duration,month,job,poutcome,,,,,
9,duration,month,job,,,,,,
10,duration,month,job,,,,,,
11,duration,month,job,housing,campaign,,,,
12,duration,month,job,housing,campaign,,,,
13,duration,month,job,housing,,,,,
14,duration,month,job,,,,,,
15,duration,month,job,marital,,,,,
16,duration,month,job,marital,,,,,
17,duration,month,job,marital,,,,,
18,duration,month,job,,,,,,
19,duration,month,job,balance,,,,,
20,duration,month,job,balance,,,,,
21,duration,month,job,contact,marital,housing,,,
22,duration,month,job,contact,marital,housing,,,
23,duration,month,job,contact,marital,balance,loan,,
24,duration,month,job,contact,marital,balance,loan,,
25,duration,month,job,contact,marital,balance,,,
26,duration,month,job,contact,marital,,,,
27,duration,month,job,contact,,,,,
28,duration,month,job,contact,,,,,
29,duration,month,job,,,,,,
30,duration,month,job,,,,,,
31,duration,month,poutcome,job,,,,,
32,duration,month,poutcome,job,,,,,
33,duration,month,poutcome,job,,,,,
34,duration,month,poutcome,job,,,,,
35,duration,month,poutcome,job,marital,,,,
36,duration,month,poutcome,job,marital,,,,
37,duration,month,poutcome,job,marital,age,balance,,
38,duration,month,poutcome,job,marital,age,balance,,
39,duration,month,poutcome,job,marital,age,,,
40,duration,month,poutcome,job,,,,,
41,duration,month,poutcome,job,,,,,
42,duration,month,poutcome,job,,,,,
43,duration,month,poutcome,job,contact,,,,
44,duration,month,poutcome,job,contact,,,,
45,duration,month,poutcome,job,contact,,,,
46,duration,month,poutcome,job,marital,,,,
47,duration,month,poutcome,job,marital,education,,,
48,duration,month,poutcome,job,marital,education,,,
49,duration,month,poutcome,job,marital,education,,,
50,duration,month,poutcome,job,marital,education,,,
51,duration,month,poutcome,job,marital,,,,
52,duration,month,poutcome,job,,,,,
53,duration,month,poutcome,job,,,,,
54,duration,month,poutcome,day,,,,,
55,duration,month,poutcome,day,,,,,
56,duration,month,poutcome,balance,,,,,
57,duration,month,poutcome,balance,,,,,
58,duration,month,poutcome,job,,,,,
59,duration,month,poutcome,job,,,,,
60,duration,month,poutcome,job,,,,,
61,duration,month,poutcome,job,,,,,
62,duration,month,poutcome,job,,,,,
63,duration,month,poutcome,job,,,,,
64,duration,month,poutcome,job,,,,,
65,duration,month,poutcome,job,,,,,
66,duration,month,poutcome,job,,,,,
67,duration,month,poutcome,job,education,,,,
68,duration,month,poutcome,job,education,,,,
69,duration,month,poutcome,job,education,campaign,balance,,
70,duration,month,poutcome,job,education,campaign,balance,,
71,duration,month,poutcome,job,education,campaign,balance,marital,
72,duration,month,poutcome,job,education,campaign,balance,marital,age
73,duration,month,poutcome,job,education,campaign,balance,marital,age
74,duration,month,poutcome,job,education,campaign,balance,marital,
75,duration,month,poutcome,job,education,campaign,balance,,
76,duration,month,poutcome,job,education,,,,
77,duration,month,poutcome,job,balance,,,,
78,duration,month,poutcome,job,balance,,,,
79,duration,month,poutcome,job,,,,,
80,duration,month,job,,,,,,
81,duration,month,job,,,,,,
82,duration,month,job,,,,,,
83,duration,month,job,,,,,,
84,duration,month,job,,,,,,
85,duration,month,job,,,,,,
86,duration,month,job,,,,,,
87,duration,month,job,,,,,,
88,duration,month,job,,,,,,
89,duration,month,job,,,,,,
90,duration,month,job,,,,,,
91,duration,month,job,,,,,,
92,duration,month,job,,,,,,
93,duration,month,job,poutcome,,,,,
94,duration,month,job,poutcome,,,,,
95,duration,month,job,poutcome,,,,,
96,duration,month,job,poutcome,campaign,education,housing,,
97,duration,month,job,poutcome,campaign,education,housing,,
98,duration,month,job,poutcome,campaign,education,,,
99,duration,month,job,poutcome,campaign,education,,,
100,duration,month,job,poutcome,campaign,education,,,
101,duration,month,job,poutcome,campaign,,,,
102,duration,month,job,,,,,,
103,duration,month,job,,,,,,
104,duration,month,job,education,,,,,
105,duration,month,job,education,,,,,
106,duration,month,job,education,poutcome,,,,
107,duration,month,job,education,poutcome,,,,
108,duration,month,job,education,poutcome,age,,,
109,duration,month,job,education,poutcome,age,,,
110,duration,month,job,education,poutcome,marital,,,
111,duration,month,job,education,poutcome,marital,day,age,balance
112,duration,month,job,education,poutcome,marital,day,age,balance
113,duration,month,job,education,poutcome,marital,day,age,housing
114,duration,month,job,education,poutcome,marital,day,age,housing
115,duration,month,job,education,poutcome,marital,day,,
116,duration,month,job,education,poutcome,marital,,,
117,duration,month,job,education,,,,,
118,duration,month,job,housing,,,,,
119,duration,month,job,housing,education,,,,
120,duration,month,job,housing,education,,,,
121,duration,month,job,housing,education,,,,
122,duration,month,job,housing,education,,,,
123,duration,month,job,,,,,,
124,duration,month,job,,,,,,
125,duration,month,job,housing,,,,,
126,duration,month,job,housing,,,,,
127,duration,month,job,,,,,,
128,duration,month,job,day,,,,,
129,duration,month,job,day,,,,,
130,duration,month,job,,,,,,
131,duration,month,job,,,,,,
132,duration,month,job,,,,,,
133,duration,month,job,,,,,,
134,duration,month,job,,,,,,
135,duration,month,job,marital,,,,,
136,duration,month,job,marital,,,,,
137,duration,month,job,marital,age,,,,
138,duration,month,job,marital,age,,,,
139,duration,month,job,,,,,,
140,duration,month,job,,,,,,
141,duration,month,job,,,,,,
142,duration,month,job,,,,,,
143,duration,month,job,,,,,,
144,duration,month,job,,,,,,
145,duration,month,job,,,,,,
146,duration,month,day,job,contact,,,,
147,duration,month,day,job,contact,,,,
148,duration,month,day,job,contact,age,,,
149,duration,month,day,job,contact,age,,,
150,duration,month,day,job,contact,,,,
151,duration,month,day,job,contact,campaign,age,,
152,duration,month,day,job,contact,campaign,age,loan,
153,duration,month,day,job,contact,campaign,age,loan,
154,duration,month,day,job,contact,campaign,,,
155,duration,month,day,job,contact,,,,
156,duration,month,day,job,loan,,,,
157,duration,month,day,job,loan,marital,,,
158,duration,month,day,job,loan,marital,,,
159,duration,month,day,job,loan,marital,,,
160,duration,month,day,job,,,,,
161,duration,month,day,job,balance,,,,
162,duration,month,day,job,balance,housing,age,,
163,duration,month,day,job,balance,housing,age,loan,campaign
164,duration,month,day,job,balance,housing,age,loan,campaign
165,duration,month,day,job,balance,housing,age,loan,
166,duration,month,day,job,balance,housing,,,
167,duration,month,day,job,,,,,
168,duration,month,day,job,,,,,
169,duration,month,day,job,,,,,
170,duration,month,day,job,,,,,
171,duration,month,day,job,,,,,
172,duration,month,day,job,,,,,
173,duration,month,day,job,,,,,
174,duration,month,day,,,,,,
175,duration,month,contact,job,loan,,,,
176,duration,month,contact,job,loan,,,,
177,duration,month,contact,job,age,,,,
178,duration,month,contact,job,age,day,,,
179,duration,month,contact,job,age,day,,,
180,duration,month,contact,job,,,,,
181,duration,month,contact,job,,,,,
182,duration,month,contact,job,day,,,,
183,duration,month,contact,job,day,age,poutcome,,
184,duration,month,contact,job,day,age,poutcome,,
185,duration,month,contact,job,day,age,poutcome,,
