,0,1
0,poutcome,month
1,poutcome,month
2,poutcome,month
3,poutcome,month
4,poutcome,month
5,poutcome,month
6,poutcome,month
7,poutcome,month
8,poutcome,month
9,poutcome,month
10,poutcome,month
11,poutcome,month
12,poutcome,month
13,poutcome,month
14,poutcome,month
15,poutcome,month
16,poutcome,month
17,poutcome,month
18,poutcome,month
19,poutcome,month
20,poutcome,month
21,poutcome,month
22,poutcome,month
23,poutcome,month
24,poutcome,duration
25,poutcome,duration
26,poutcome,month
27,poutcome,month
28,poutcome,month
29,poutcome,month
30,poutcome,month
31,poutcome,month
32,poutcome,month
33,poutcome,month
34,poutcome,month
35,poutcome,month
36,poutcome,month
37,poutcome,month
0,failure,apr
1,failure,aug
2,failure,dec
3,failure,feb
4,failure,jan
5,failure,jul
6,failure,jun
7,failure,mar
8,failure,may
9,failure,nov
10,failure,oct
11,failure,sep
12,other,apr
13,other,aug
14,other,dec
15,other,feb
16,other,jan
17,other,jul
18,other,jun
19,other,mar
20,other,may
21,other,nov
22,other,oct
23,other,sep
24,success,lower
25,success,upper
26,unknown,apr
27,unknown,aug
28,unknown,dec
29,unknown,feb
30,unknown,jan
31,unknown,jul
32,unknown,jun
33,unknown,mar
34,unknown,may
35,unknown,nov
36,unknown,oct
37,unknown,sep
0,no,
1,no,
2,no,
3,no,
4,no,
5,no,
6,no,
7,no,
8,no,
9,no,
10,no,
11,no,
12,no,
13,no,
14,yes,
15,no,
16,no,
17,yes,
18,no,
19,no,
20,no,
21,no,
22,no,
23,no,
24,no,
25,yes,
26,no,
27,no,
28,yes,
29,no,
30,no,
31,no,
32,no,
33,yes,
34,no,
35,no,
36,no,
37,no,
