,0,1,2
0,poutcome,month,day
1,poutcome,month,day
2,poutcome,month,job
3,poutcome,month,job
4,poutcome,month,job
5,poutcome,month,job
6,poutcome,month,job
7,poutcome,month,job
8,poutcome,month,job
9,poutcome,month,job
10,poutcome,month,job
11,poutcome,month,job
12,poutcome,month,job
13,poutcome,month,job
14,poutcome,month,marital
15,poutcome,month,marital
16,poutcome,month,marital
17,poutcome,month,job
18,poutcome,month,job
19,poutcome,month,job
20,poutcome,month,job
21,poutcome,month,job
22,poutcome,month,job
23,poutcome,month,job
24,poutcome,month,job
25,poutcome,month,job
26,poutcome,month,job
27,poutcome,month,job
28,poutcome,month,job
29,poutcome,month,
30,poutcome,month,job
31,poutcome,month,job
32,poutcome,month,job
33,poutcome,month,job
34,poutcome,month,job
35,poutcome,month,job
36,poutcome,month,job
37,poutcome,month,job
38,poutcome,month,job
39,poutcome,month,job
40,poutcome,month,job
41,poutcome,month,job
42,poutcome,month,duration
43,poutcome,month,duration
44,poutcome,month,loan
45,poutcome,month,loan
46,poutcome,month,duration
47,poutcome,month,duration
48,poutcome,month,job
49,poutcome,month,job
50,poutcome,month,job
51,poutcome,month,job
52,poutcome,month,job
53,poutcome,month,job
54,poutcome,month,job
55,poutcome,month,job
56,poutcome,month,job
57,poutcome,month,job
58,poutcome,month,job
59,poutcome,month,job
60,poutcome,month,job
61,poutcome,month,job
62,poutcome,month,job
63,poutcome,month,job
64,poutcome,month,job
65,poutcome,month,job
66,poutcome,month,job
67,poutcome,month,job
68,poutcome,month,job
69,poutcome,month,job
70,poutcome,month,job
71,poutcome,month,job
72,poutcome,month,job
73,poutcome,month,job
74,poutcome,month,job
75,poutcome,month,job
76,poutcome,month,job
77,poutcome,month,job
78,poutcome,month,job
79,poutcome,month,job
80,poutcome,month,job
81,poutcome,month,job
82,poutcome,month,job
83,poutcome,month,job
84,poutcome,month,balance
85,poutcome,month,balance
86,poutcome,month,age
87,poutcome,month,age
88,poutcome,month,job
89,poutcome,month,job
90,poutcome,month,job
91,poutcome,month,job
92,poutcome,month,job
93,poutcome,month,job
94,poutcome,month,job
95,poutcome,month,job
96,poutcome,month,job
97,poutcome,month,job
98,poutcome,month,job
99,poutcome,month,job
100,poutcome,month,job
101,poutcome,month,job
102,poutcome,month,job
103,poutcome,month,job
104,poutcome,month,job
105,poutcome,month,job
106,poutcome,month,job
107,poutcome,month,job
108,poutcome,month,job
109,poutcome,month,job
110,poutcome,month,job
111,poutcome,month,job
112,poutcome,month,
113,poutcome,month,job
114,poutcome,month,job
115,poutcome,month,job
116,poutcome,month,job
117,poutcome,month,job
118,poutcome,month,job
119,poutcome,month,job
120,poutcome,month,job
121,poutcome,month,job
122,poutcome,month,job
123,poutcome,month,job
124,poutcome,month,job
125,poutcome,month,job
126,poutcome,month,job
127,poutcome,month,job
128,poutcome,month,job
129,poutcome,month,job
130,poutcome,month,job
131,poutcome,month,job
132,poutcome,month,job
133,poutcome,month,job
134,poutcome,month,job
135,poutcome,month,job
136,poutcome,month,job
137,poutcome,month,
138,poutcome,month,job
139,poutcome,month,job
140,poutcome,month,job
141,poutcome,month,job
142,poutcome,month,job
143,poutcome,month,job
144,poutcome,month,job
145,poutcome,month,job
146,poutcome,month,job
147,poutcome,month,job
148,poutcome,month,job
149,poutcome,month,job
150,poutcome,month,job
151,poutcome,month,job
152,poutcome,month,job
153,poutcome,month,job
154,poutcome,month,job
