,0,1,2,3
0,poutcome,month,day,marital
1,poutcome,month,day,marital
2,poutcome,month,day,marital
3,poutcome,month,day,default
4,poutcome,month,day,default
5,poutcome,month,job,
6,poutcome,month,job,marital
7,poutcome,month,job,marital
8,poutcome,month,job,marital
9,poutcome,month,job,
10,poutcome,month,job,contact
11,poutcome,month,job,contact
12,poutcome,month,job,contact
13,poutcome,month,job,marital
14,poutcome,month,job,marital
15,poutcome,month,job,marital
16,poutcome,month,job,
17,poutcome,month,job,
18,poutcome,month,job,
19,poutcome,month,job,contact
20,poutcome,month,job,contact
21,poutcome,month,job,contact
22,poutcome,month,job,education
23,poutcome,month,job,education
24,poutcome,month,job,education
25,poutcome,month,job,education
26,poutcome,month,job,
27,poutcome,month,job,
28,poutcome,month,marital,
29,poutcome,month,marital,
30,poutcome,month,marital,
31,poutcome,month,job,
32,poutcome,month,job,
33,poutcome,month,job,
34,poutcome,month,job,
35,poutcome,month,job,
36,poutcome,month,job,
37,poutcome,month,job,
38,poutcome,month,job,housing
39,poutcome,month,job,housing
40,poutcome,month,job,
41,poutcome,month,job,
42,poutcome,month,job,
43,poutcome,month,job,
44,poutcome,month,,
45,poutcome,month,job,
46,poutcome,month,job,
47,poutcome,month,job,
48,poutcome,month,job,
49,poutcome,month,job,housing
50,poutcome,month,job,housing
51,poutcome,month,job,
52,poutcome,month,job,
53,poutcome,month,job,
54,poutcome,month,job,
55,poutcome,month,job,
56,poutcome,month,job,
57,poutcome,month,job,
58,poutcome,month,duration,job
59,poutcome,month,duration,job
60,poutcome,month,duration,job
61,poutcome,month,duration,job
62,poutcome,month,duration,job
63,poutcome,month,duration,job
64,poutcome,month,duration,job
65,poutcome,month,duration,job
66,poutcome,month,duration,job
67,poutcome,month,duration,job
68,poutcome,month,duration,job
69,poutcome,month,duration,job
70,poutcome,month,duration,job
71,poutcome,month,duration,job
72,poutcome,month,duration,job
73,poutcome,month,duration,job
74,poutcome,month,duration,job
75,poutcome,month,duration,job
76,poutcome,month,duration,job
77,poutcome,month,duration,job
78,poutcome,month,duration,job
79,poutcome,month,duration,job
80,poutcome,month,duration,job
81,poutcome,month,duration,job
82,poutcome,month,loan,
83,poutcome,month,loan,
84,poutcome,month,duration,
85,poutcome,month,duration,day
86,poutcome,month,duration,day
87,poutcome,month,job,marital
88,poutcome,month,job,marital
89,poutcome,month,job,marital
90,poutcome,month,job,
91,poutcome,month,job,
92,poutcome,month,job,
93,poutcome,month,job,duration
94,poutcome,month,job,duration
95,poutcome,month,job,
96,poutcome,month,job,
97,poutcome,month,job,
98,poutcome,month,job,
99,poutcome,month,job,education
100,poutcome,month,job,education
101,poutcome,month,job,education
102,poutcome,month,job,education
103,poutcome,month,job,age
104,poutcome,month,job,age
105,poutcome,month,job,
106,poutcome,month,job,
107,poutcome,month,job,
108,poutcome,month,job,
109,poutcome,month,job,
110,poutcome,month,job,
111,poutcome,month,job,duration
112,poutcome,month,job,duration
113,poutcome,month,job,
114,poutcome,month,job,
115,poutcome,month,job,
116,poutcome,month,job,housing
117,poutcome,month,job,housing
118,poutcome,month,job,
119,poutcome,month,job,
120,poutcome,month,job,
121,poutcome,month,job,
122,poutcome,month,job,
123,poutcome,month,job,
124,poutcome,month,job,campaign
125,poutcome,month,job,campaign
126,poutcome,month,job,
127,poutcome,month,job,
128,poutcome,month,job,
129,poutcome,month,job,
130,poutcome,month,job,
131,poutcome,month,job,age
132,poutcome,month,job,age
133,poutcome,month,job,
134,poutcome,month,balance,job
135,poutcome,month,balance,job
136,poutcome,month,balance,job
137,poutcome,month,balance,job
138,poutcome,month,balance,job
139,poutcome,month,balance,job
140,poutcome,month,balance,job
141,poutcome,month,balance,job
142,poutcome,month,balance,job
143,poutcome,month,balance,job
144,poutcome,month,balance,job
145,poutcome,month,balance,job
146,poutcome,month,balance,
147,poutcome,month,age,job
148,poutcome,month,age,job
149,poutcome,month,age,job
150,poutcome,month,age,job
151,poutcome,month,age,job
152,poutcome,month,age,job
153,poutcome,month,age,job
154,poutcome,month,age,job
155,poutcome,month,age,job
156,poutcome,month,age,job
157,poutcome,month,age,job
158,poutcome,month,age,job
159,poutcome,month,age,
160,poutcome,month,job,
161,poutcome,month,job,
162,poutcome,month,job,
163,poutcome,month,job,
164,poutcome,month,job,
165,poutcome,month,job,
166,poutcome,month,job,
167,poutcome,month,job,
168,poutcome,month,job,
169,poutcome,month,job,
170,poutcome,month,job,
171,poutcome,month,job,
172,poutcome,month,job,
173,poutcome,month,job,
174,poutcome,month,job,
175,poutcome,month,job,
176,poutcome,month,job,duration
177,poutcome,month,job,duration
178,poutcome,month,job,
179,poutcome,month,job,
180,poutcome,month,job,
181,poutcome,month,job,
182,poutcome,month,job,
183,poutcome,month,job,
184,poutcome,month,job,
185,poutcome,month,,
186,poutcome,month,job,
187,poutcome,month,job,
188,poutcome,month,job,
189,poutcome,month,job,
190,poutcome,month,job,
191,poutcome,month,job,
192,poutcome,month,job,
193,poutcome,month,job,
194,poutcome,month,job,
195,poutcome,month,job,
196,poutcome,month,job,
197,poutcome,month,job,
198,poutcome,month,job,
199,poutcome,month,job,
200,poutcome,month,job,
201,poutcome,month,job,
202,poutcome,month,job,
203,poutcome,month,job,
204,poutcome,month,job,
205,poutcome,month,job,
206,poutcome,month,job,
207,poutcome,month,job,
208,poutcome,month,job,
209,poutcome,month,job,
210,poutcome,month,,
211,poutcome,month,job,
212,poutcome,month,job,
213,poutcome,month,job,
214,poutcome,month,job,
215,poutcome,month,job,balance
216,poutcome,month,job,balance
217,poutcome,month,job,
218,poutcome,month,job,marital
219,poutcome,month,job,marital
220,poutcome,month,job,marital
221,poutcome,month,job,marital
222,poutcome,month,job,marital
223,poutcome,month,job,marital
224,poutcome,month,job,
225,poutcome,month,job,housing
226,poutcome,month,job,housing
227,poutcome,month,job,
228,poutcome,month,job,
229,poutcome,month,job,
230,poutcome,month,job,
231,poutcome,month,job,
232,poutcome,month,job,
233,poutcome,month,job,
234,poutcome,month,job,
235,poutcome,month,job,
236,poutcome,month,job,
237,poutcome,month,job,
238,poutcome,month,job,marital
239,poutcome,month,job,marital
240,poutcome,month,job,marital
241,poutcome,month,job,
242,poutcome,month,job,
243,poutcome,month,job,
244,poutcome,month,job,
245,poutcome,month,job,
246,poutcome,month,job,
247,poutcome,month,job,
248,poutcome,month,job,
249,poutcome,month,job,
250,poutcome,month,job,
251,poutcome,month,job,
252,poutcome,month,job,duration
253,poutcome,month,job,duration
254,poutcome,month,job,
255,poutcome,month,job,
256,poutcome,month,,
257,poutcome,duration,job,month
258,poutcome,duration,job,month
259,poutcome,duration,job,month
260,poutcome,duration,job,month
261,poutcome,duration,job,month
262,poutcome,duration,job,month
263,poutcome,duration,job,month
264,poutcome,duration,job,month
265,poutcome,duration,job,month
266,poutcome,duration,job,month
267,poutcome,duration,job,month
268,poutcome,duration,job,month
269,poutcome,duration,job,housing
270,poutcome,duration,job,housing
271,poutcome,duration,job,
272,poutcome,duration,job,education
273,poutcome,duration,job,education
274,poutcome,duration,job,education
275,poutcome,duration,job,education
276,poutcome,duration,job,balance
277,poutcome,duration,job,balance
278,poutcome,duration,job,
279,poutcome,duration,job,age
280,poutcome,duration,job,age
281,poutcome,duration,job,
282,poutcome,duration,job,balance
283,poutcome,duration,job,balance
284,poutcome,duration,job,month
285,poutcome,duration,job,month
286,poutcome,duration,job,month
287,poutcome,duration,job,month
288,poutcome,duration,job,month
289,poutcome,duration,job,month
290,poutcome,duration,job,month
291,poutcome,duration,job,month
292,poutcome,duration,job,month
293,poutcome,duration,job,month
294,poutcome,duration,job,month
295,poutcome,duration,job,month
296,poutcome,duration,job,
297,poutcome,duration,job,
298,poutcome,duration,month,campaign
299,poutcome,duration,month,campaign
300,poutcome,duration,month,education
301,poutcome,duration,month,education
302,poutcome,duration,month,education
303,poutcome,duration,month,education
304,poutcome,duration,month,
305,poutcome,duration,month,age
306,poutcome,duration,month,age
307,poutcome,duration,month,job
308,poutcome,duration,month,job
309,poutcome,duration,month,job
310,poutcome,duration,month,job
311,poutcome,duration,month,job
312,poutcome,duration,month,job
313,poutcome,duration,month,job
314,poutcome,duration,month,job
315,poutcome,duration,month,job
316,poutcome,duration,month,job
