,0,1,2,3,4
0,poutcome,month,day,marital,job
1,poutcome,month,day,marital,job
2,poutcome,month,day,marital,job
3,poutcome,month,day,marital,job
4,poutcome,month,day,marital,job
5,poutcome,month,day,marital,job
6,poutcome,month,day,marital,job
7,poutcome,month,day,marital,job
8,poutcome,month,day,marital,job
9,poutcome,month,day,marital,job
10,poutcome,month,day,marital,job
11,poutcome,month,day,marital,job
12,poutcome,month,day,marital,job
13,poutcome,month,day,marital,job
14,poutcome,month,day,marital,job
15,poutcome,month,day,marital,job
16,poutcome,month,day,marital,job
17,poutcome,month,day,marital,job
18,poutcome,month,day,marital,job
19,poutcome,month,day,marital,job
20,poutcome,month,day,marital,job
21,poutcome,month,day,marital,job
22,poutcome,month,day,marital,job
23,poutcome,month,day,marital,job
24,poutcome,month,day,marital,job
25,poutcome,month,day,marital,job
26,poutcome,month,day,marital,job
27,poutcome,month,day,marital,job
28,poutcome,month,day,marital,job
29,poutcome,month,day,marital,job
30,poutcome,month,day,marital,job
31,poutcome,month,day,marital,job
32,poutcome,month,day,marital,job
33,poutcome,month,day,marital,job
34,poutcome,month,day,marital,job
35,poutcome,month,day,marital,job
36,poutcome,month,day,default,
37,poutcome,month,day,default,
38,poutcome,month,job,,
39,poutcome,month,job,marital,
40,poutcome,month,job,marital,
41,poutcome,month,job,marital,
42,poutcome,month,job,,
43,poutcome,month,job,contact,
44,poutcome,month,job,contact,
45,poutcome,month,job,contact,
46,poutcome,month,job,marital,
47,poutcome,month,job,marital,
48,poutcome,month,job,marital,age
49,poutcome,month,job,marital,age
50,poutcome,month,job,,
51,poutcome,month,job,,
52,poutcome,month,job,,
53,poutcome,month,job,contact,
54,poutcome,month,job,contact,
55,poutcome,month,job,contact,
56,poutcome,month,job,education,
57,poutcome,month,job,education,marital
58,poutcome,month,job,education,marital
59,poutcome,month,job,education,marital
60,poutcome,month,job,education,
61,poutcome,month,job,education,
62,poutcome,month,job,,
63,poutcome,month,job,,
64,poutcome,month,marital,,
65,poutcome,month,marital,,
66,poutcome,month,marital,,
67,poutcome,month,job,,
68,poutcome,month,job,,
69,poutcome,month,job,,
70,poutcome,month,job,,
71,poutcome,month,job,,
72,poutcome,month,job,,
73,poutcome,month,job,,
74,poutcome,month,job,housing,
75,poutcome,month,job,housing,
76,poutcome,month,job,,
77,poutcome,month,job,,
78,poutcome,month,job,,
79,poutcome,month,job,,
80,poutcome,month,,,
81,poutcome,month,job,,
82,poutcome,month,job,,
83,poutcome,month,job,,
84,poutcome,month,job,,
85,poutcome,month,job,housing,
86,poutcome,month,job,housing,
87,poutcome,month,job,,
88,poutcome,month,job,,
89,poutcome,month,job,,
90,poutcome,month,job,,
91,poutcome,month,job,,
92,poutcome,month,job,,
93,poutcome,month,job,,
94,poutcome,month,duration,job,
95,poutcome,month,duration,job,marital
96,poutcome,month,duration,job,marital
97,poutcome,month,duration,job,marital
98,poutcome,month,duration,job,
99,poutcome,month,duration,job,
100,poutcome,month,duration,job,
101,poutcome,month,duration,job,
102,poutcome,month,duration,job,
103,poutcome,month,duration,job,
104,poutcome,month,duration,job,
105,poutcome,month,duration,job,
106,poutcome,month,duration,job,
107,poutcome,month,duration,job,
108,poutcome,month,duration,job,age
109,poutcome,month,duration,job,age
110,poutcome,month,duration,job,
111,poutcome,month,duration,job,
112,poutcome,month,duration,job,
113,poutcome,month,duration,job,housing
114,poutcome,month,duration,job,housing
115,poutcome,month,duration,job,
116,poutcome,month,duration,job,
117,poutcome,month,duration,job,
118,poutcome,month,duration,job,
119,poutcome,month,duration,job,age
120,poutcome,month,duration,job,age
121,poutcome,month,duration,job,
122,poutcome,month,duration,job,
123,poutcome,month,loan,,
124,poutcome,month,loan,,
125,poutcome,month,duration,,
126,poutcome,month,duration,day,job
127,poutcome,month,duration,day,job
128,poutcome,month,duration,day,job
129,poutcome,month,duration,day,job
130,poutcome,month,duration,day,job
131,poutcome,month,duration,day,job
132,poutcome,month,duration,day,job
133,poutcome,month,duration,day,job
134,poutcome,month,duration,day,job
135,poutcome,month,duration,day,job
136,poutcome,month,duration,day,job
137,poutcome,month,duration,day,job
138,poutcome,month,duration,day,job
139,poutcome,month,duration,day,job
140,poutcome,month,duration,day,job
141,poutcome,month,duration,day,job
142,poutcome,month,duration,day,job
143,poutcome,month,duration,day,job
144,poutcome,month,duration,day,job
145,poutcome,month,duration,day,job
146,poutcome,month,duration,day,job
147,poutcome,month,duration,day,job
148,poutcome,month,duration,day,job
149,poutcome,month,duration,day,job
150,poutcome,month,job,marital,
151,poutcome,month,job,marital,
152,poutcome,month,job,marital,education
153,poutcome,month,job,marital,education
154,poutcome,month,job,marital,education
155,poutcome,month,job,marital,education
156,poutcome,month,job,,
157,poutcome,month,job,,
