,0,1,2,3,4,5,6,7
0,poutcome,month,day,marital,job,,,
1,poutcome,month,day,marital,job,,,
2,poutcome,month,day,marital,job,,,
3,poutcome,month,day,marital,job,,,
4,poutcome,month,day,marital,job,,,
5,poutcome,month,day,marital,job,,,
6,poutcome,month,day,marital,job,,,
7,poutcome,month,day,marital,job,,,
8,poutcome,month,day,marital,job,,,
9,poutcome,month,day,marital,job,,,
10,poutcome,month,day,marital,job,,,
11,poutcome,month,day,marital,job,,,
12,poutcome,month,day,marital,job,,,
13,poutcome,month,day,marital,job,,,
14,poutcome,month,day,marital,job,,,
15,poutcome,month,day,marital,job,,,
16,poutcome,month,day,marital,job,balance,,
17,poutcome,month,day,marital,job,balance,,
18,poutcome,month,day,marital,job,,,
19,poutcome,month,day,marital,job,,,
20,poutcome,month,day,marital,job,,,
21,poutcome,month,day,marital,job,,,
22,poutcome,month,day,marital,job,balance,,
23,poutcome,month,day,marital,job,balance,,
24,poutcome,month,day,marital,job,,,
25,poutcome,month,day,marital,job,,,
26,poutcome,month,day,marital,job,,,
27,poutcome,month,day,marital,job,age,,
28,poutcome,month,day,marital,job,age,,
29,poutcome,month,day,marital,job,,,
30,poutcome,month,day,marital,job,,,
31,poutcome,month,day,marital,job,,,
32,poutcome,month,day,marital,job,,,
33,poutcome,month,day,marital,job,,,
34,poutcome,month,day,marital,job,,,
35,poutcome,month,day,marital,job,,,
36,poutcome,month,day,marital,job,campaign,,
37,poutcome,month,day,marital,job,campaign,,
38,poutcome,month,day,marital,job,,,
39,poutcome,month,day,marital,job,,,
40,poutcome,month,day,default,,,,
41,poutcome,month,day,default,,,,
42,poutcome,month,job,,,,,
43,poutcome,month,job,marital,,,,
44,poutcome,month,job,marital,,,,
45,poutcome,month,job,marital,,,,
46,poutcome,month,job,,,,,
47,poutcome,month,job,contact,,,,
48,poutcome,month,job,contact,,,,
49,poutcome,month,job,contact,,,,
50,poutcome,month,job,marital,,,,
51,poutcome,month,job,marital,,,,
52,poutcome,month,job,marital,age,balance,housing,
53,poutcome,month,job,marital,age,balance,housing,
54,poutcome,month,job,marital,age,balance,,
55,poutcome,month,job,marital,age,,,
56,poutcome,month,job,,,,,
57,poutcome,month,job,,,,,
58,poutcome,month,job,,,,,
59,poutcome,month,job,contact,,,,
60,poutcome,month,job,contact,,,,
61,poutcome,month,job,contact,,,,
62,poutcome,month,job,education,,,,
63,poutcome,month,job,education,marital,,,
64,poutcome,month,job,education,marital,,,
65,poutcome,month,job,education,marital,,,
66,poutcome,month,job,education,,,,
67,poutcome,month,job,education,,,,
68,poutcome,month,job,,,,,
69,poutcome,month,job,,,,,
70,poutcome,month,marital,,,,,
71,poutcome,month,marital,,,,,
72,poutcome,month,marital,,,,,
73,poutcome,month,job,,,,,
74,poutcome,month,job,,,,,
75,poutcome,month,job,,,,,
76,poutcome,month,job,,,,,
77,poutcome,month,job,,,,,
78,poutcome,month,job,,,,,
79,poutcome,month,job,,,,,
80,poutcome,month,job,housing,,,,
81,poutcome,month,job,housing,,,,
82,poutcome,month,job,,,,,
83,poutcome,month,job,,,,,
84,poutcome,month,job,,,,,
85,poutcome,month,job,,,,,
86,poutcome,month,,,,,,
87,poutcome,month,job,,,,,
88,poutcome,month,job,,,,,
89,poutcome,month,job,,,,,
90,poutcome,month,job,,,,,
91,poutcome,month,job,housing,,,,
92,poutcome,month,job,housing,,,,
93,poutcome,month,job,,,,,
94,poutcome,month,job,,,,,
95,poutcome,month,job,,,,,
96,poutcome,month,job,,,,,
97,poutcome,month,job,,,,,
98,poutcome,month,job,,,,,
99,poutcome,month,job,,,,,
100,poutcome,month,duration,job,,,,
101,poutcome,month,duration,job,marital,,,
102,poutcome,month,duration,job,marital,,,
103,poutcome,month,duration,job,marital,,,
104,poutcome,month,duration,job,,,,
105,poutcome,month,duration,job,,,,
106,poutcome,month,duration,job,,,,
107,poutcome,month,duration,job,,,,
108,poutcome,month,duration,job,,,,
109,poutcome,month,duration,job,,,,
110,poutcome,month,duration,job,,,,
111,poutcome,month,duration,job,,,,
112,poutcome,month,duration,job,,,,
113,poutcome,month,duration,job,,,,
114,poutcome,month,duration,job,age,,,
115,poutcome,month,duration,job,age,,,
116,poutcome,month,duration,job,,,,
117,poutcome,month,duration,job,,,,
118,poutcome,month,duration,job,,,,
119,poutcome,month,duration,job,housing,campaign,,
120,poutcome,month,duration,job,housing,campaign,,
121,poutcome,month,duration,job,housing,,,
122,poutcome,month,duration,job,,,,
123,poutcome,month,duration,job,,,,
124,poutcome,month,duration,job,,,,
125,poutcome,month,duration,job,,,,
126,poutcome,month,duration,job,age,,,
127,poutcome,month,duration,job,age,,,
128,poutcome,month,duration,job,,,,
129,poutcome,month,duration,job,,,,
